TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
0,0,0,0,0,0,0,0,0,0
167662.8594,122285.6289,12302.42432,8009.145996,98519.72656,68177.47852,5871.002442,2067.704162,33027.02637,15815.00195
8764.787109,5470.939941,432.273712,0,5315.07373,3461.309082,518.972046,0,2294.56958,507.652283
11878.14551,8630.303711,0,0,5617.762207,5964.04541,7472.712891,0,2320.469482,0
21552.56836,17230.70703,663.023376,508.605682,12565.89453,8059.40625,0,495.458496,5333.090332,1258.693481
85227.85742,56538.50976,4378.948364,3635.260071,42318.18457,28696.71484,2096.729492,783.437744,15781.66113,7371.66803
13065.7041,10688.72949,560.615601,451.801361,7585.376465,6324.912109,0,0,2390.6875,1200.491699
56951.07031,50733.06055,3340.646546,1506.39563,39112.98145,27971.38672,589.746826,400.702454,11462.15088,4934.730591
87922.25781,65714.17188,0,3134.031738,56687.84766,35903.41016,2363.499756,886.775452,17393.53125,10001.73731
0,0,0,0,0,0,0,0,0,0
15697.18555,14657.62695,470.004059,0,11399.66211,6179.65625,0,0,2863.160156,1922.419678
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
4306.204102,3560.343994,0,0,2668.328857,1102.507446,0,0,1897.011841,0
3746.647949,9422.749023,0,403.897339,4771.237305,2108.922119,428.906494,0,614.600098,0
0,0,0,0,0,0,0,0,0,0
5036.624512,2485.178467,0,0,2256.54126,938.478699,0,0,730.662109,472.411163
33906.24609,23573.59961,580.891907,1087.255005,18358.80469,11141.03223,502.772125,0,7182.277344,3419.982666
64559.21484,51513.17969,0,4198.69873,41160.29688,24897.79883,2705.574707,610.976318,14810.57324,5698.188477
70530.6875,53040.31641,6452.581543,4127.46875,38979.78125,27717.16602,3360.855957,2137.486572,13511.41406,8688.805664
92450.70313,67028.53125,3091.280273,3123.513184,50496.41016,32054.57031,1087.942749,480.116699,18805.83203,10765.32129
0,0,0,0,0,0,0,0,0,0
4942.019043,3296.658203,0,433.221649,3188.725586,2228.401367,0,0,0,0
0,0,0,0,0,0,0,0,0,0
