TotInt_126C_MAN1353,TotInt_127N_MAN1353,TotInt_127C_MAN1353,TotInt_128N_MAN1353,TotInt_128C_MAN1353,TotInt_129N_MAN1353,TotInt_129C_MAN1353,TotInt_130N_MAN1353,TotInt_130C_MAN1353,TotInt_131N_MAN1353
188305.792,136386.8726,12734.69803,8009.145996,109452.5625,77602.83301,13862.68738,2067.704162,37642.06543,16322.65424
106780.4258,73769.2168,5041.97174,4143.865753,54884.0791,36756.12109,2096.729492,1278.89624,21114.75146,8630.361511
13065.7041,10688.72949,560.615601,451.801361,7585.376465,6324.912109,50,50,2390.6875,1200.491699
160570.5137,131104.8594,3810.650605,4640.427368,107200.4912,70054.45313,2953.246582,1287.477906,31718.84229,16858.88757
1044356.289,787271.5957,36579.63947,50065.60049,620402.9648,410026.4698,27164.26773,11782.78073,215588.4576,114795.0757
0,0,0,0,0,0,0,0,0,0
2533375.241,1912663.884,133842.286,128566.3033,1516886.554,989228.9632,52170.47314,48552.8884,539569.9997,295488.8499
59434.32422,48451.23828,1030.716797,2057.098877,38671.80469,28593.75391,1116.404419,50,12209.50391,7378.37207
0,0,0,0,0,0,0,0,0,0
84684.08789,68822.82031,6502.728272,3636.352173,53570.86621,43889.08057,2653.320251,1340.65033,17415.83984,7485.073914
2271257.466,1806024.097,63851.97482,82700.75537,1353031,919816.7518,32963.93717,24086.0581,451754.4841,254361.6293
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
77502.17969,65351.46484,5955.604126,4865.450257,48980.03223,37498.94629,1679.378205,50,14239.75684,9277.417969
0,0,0,0,0,0,0,0,0,0
32210.09033,24722.4939,1651.506042,848.146545,20530.60303,11197.40515,463.661499,50,5756.128906,1708.89386
0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0
34331.30078,29211.20508,889.568176,588.601501,23590.64453,16337.0625,50,50,5757.71875,4546.675781
249498.3203,191590.9297,2967.148926,6751.68457,154955.4063,98623.15625,2602.67749,887.662231,61683.98242,31522.75977
0,0,0,0,0,0,0,0,0,0
511.517365,2568.306396,50,50,924.449463,3292.756104,50,50,50,50
14173.66992,9731.245117,50,458.190247,6875.841309,4956.330078,50,50,1270.27417,575.540039
0,0,0,0,0,0,0,0,0,0
