Accession,TotInt_126C_Ecoli_12prot_MS2,TotInt_127N_Ecoli_12prot_MS2,TotInt_127C_Ecoli_12prot_MS2,TotInt_128N_Ecoli_12prot_MS2,TotInt_128C_Ecoli_12prot_MS2,TotInt_129N_Ecoli_12prot_MS2,TotInt_129C_Ecoli_12prot_MS2,TotInt_130N_Ecoli_12prot_MS2,TotInt_130C_Ecoli_12prot_MS2,TotInt_131N_Ecoli_12prot_MS2
Q14847,5678,2199.8,44484,2063.2,10472,73249,0,9775.6,2367.2,4164.6
Q96FW1,677.84,10159,0,1101.5,1859,677.22,730.74,1452.9,18843,332.88
Q96FW1,1514.6,8595.9,1392.4,2931.9,2765.3,1797.8,1822.5,2503,16232,1749
Q96FW1,147.26,1512,133.83,202.1,378.05,95.406,97.144,316.86,3229.6,262.25
Q96FW1,1822.8,8783.5,1456.7,2542.1,3012.8,1840.6,2326.8,2399.4,16516,1587.2
P15311,55596,1434.6,9268.7,626.86,3110.5,5969.3,4094,30346,0,1325.6
P15311,40489,1752.6,10244,911.48,3272.5,4817.5,3488.3,22936,0,2283.1
P15311,101240,2860.9,14764,1007.7,5612.2,10285,6349.9,52165,0,1974.2
P15311,64372,1897.3,9370.6,546.43,3620.6,6314.6,3707.9,33678,0,1143.6
P15311,55299,2061.6,9687.4,839.12,3738.4,7181.1,4267.7,27515,0,1792.1
P15311,60746,5959.7,14570,5507.8,8594.3,10189,9063.6,35937,6424.9,6168.4
P15311,31996,783.45,5367.1,393.2,1531.1,3092,2155.6,16283,0,467.65
Q9Y2W7,1780.8,233.37,1277.9,11188,1793.6,1653.8,592.4,1033,776.42,7684.3
Q9Y2W7,665.48,110.59,581.96,4896.9,926.24,917.33,77.316,419.76,357.98,3371.8
Q9Y2W7,2001.9,1783.4,1701.9,8308,2406.1,2605.3,1917.8,2083.1,2001.9,5637.3
Q9Y2W7,1093.5,487.58,938.27,9366.4,0,1290.4,630.73,498.66,746.25,6254.4
P05089,4488.6,4483.8,41447,3996.7,8333.8,2509.7,23886,3682.4,6768.1,4365.9
P52292,346.06,4475.7,224.48,1056,2617.9,216.52,574.7,520.85,448.02,796.36
P52292,9866.7,110240,0,31609,54819,4932.6,11633,10928,3494.1,9503.3
P52292,1930,16119,0,2736.4,8799.5,731.83,1255.4,1872.2,1036.8,1683.8
P06733,326.17,70085,6901.8,7120.8,8611.6,6354.2,14354,161250,0,20206
P06733,850.84,30064,3731,8729.4,4745,3236,6764.2,72430,0,17003
O60861,5264,1844.8,22489,3345.9,2830.5,19032,3998.6,4560.5,2326.5,6370.7
O60861,7400.7,2532.9,35797,3538.2,3144.1,62343,577.24,7086.6,1389.3,8010.3
O60861,1058.9,438.17,4760.5,521.6,795.44,10417,795.18,1623.7,243.23,1168.2
O60861,1240,896.02,2703.5,1264.3,1132.4,4395.6,1213.1,1716.7,882.82,1278.4
P06733,0,3561.3,507.75,564.02,776.52,360.26,827.31,8502,313.95,867.62
P06733,1598.7,14605,3272.3,4067.2,4419.4,3311.3,4999.5,34570,0,7419.6
Q9Y2W7,707.22,767.59,696.63,2575.1,1179.4,864.79,896.67,759.85,809.71,2407.7
Q9Y2W7,711.9,118.79,626.28,9692.2,944.35,1199.7,119.67,429.12,244.47,5553.6
O15379,2897.9,3175.8,1318.2,1547.4,83692,1489.1,37780,6130.9,1179.4,5480.6
O15379,3530,4621.1,1195.6,2063,94777,1630.9,40320,7373.2,1376.5,6767
P05089,1177.1,641.49,19081,788.15,2533.8,170.8,10728,244.7,1825.3,923.12
P15311,58224,3549.5,8922.1,2188.9,5267.7,8797.8,5457.2,35398,0,2627.9
P15311,53776,1632.6,6670.8,171.85,3380.7,6278.9,3296.6,30475,0,936.67
P15311,17913,1386,3626.7,1437.5,2056.9,3003.4,2529.5,9809.6,1803.8,1271.9
P15311,8917.7,630.4,2106,578.72,821.65,1429.2,950.94,5083.8,725.58,767.78
P15311,11291,1237.6,2455,1307.8,2054,2277.1,2256.4,6334.2,1550.1,1116.9
P15311,6263.3,957.73,1087.5,822.58,1010.5,1129.2,1088.9,3704.4,811.81,1014.2
P15311,106770,2392.3,15154,556.11,5420.8,10695,6653.5,53735,0,1678.2
P15311,8128,645.43,1187.2,476.6,782.97,1234.1,696.69,3999.5,601.73,481.89
O60861,1274.2,570.57,4650.4,849.56,804.4,9814.2,937.82,1379,454.24,1297.2
O60861,2291.7,498.78,11212,726.7,1250.1,23117,0,3083,258.66,2403.2
Q14847,1011.8,311.33,7861.5,205.91,2022.7,18844,0,1981.1,397.28,834.73
Q14847,7501.7,3029.8,65642,1956.4,15979,127450,710.82,15031,3546.5,7660.1
P05089,3440,2019.8,37338,2975.9,9134.1,1792,20388,2030.9,6125.9,2970.7
Q15185,21621,376.45,2917.7,3638.8,4264.6,1548.7,1469.4,4814.4,2253,42987
Q15185,4617,0,885.3,361.71,956.11,324.87,102.4,941.73,264.96,6918.8
Q15185,13552,0,1350.1,1332.7,3750.8,583.4,80.82,4121.1,1019.8,51740
Q15185,27154,1548.9,4698.3,2964.6,6781.4,1491.5,863.24,5260.6,1700.5,41026
P05089,897.47,417.95,8478.7,853.68,2353.9,419.81,5383,795.51,1655.9,995.69
P05089,1864.8,426.89,35593,1030.4,5346.7,0,18388,210.98,4365,1771
P06733,0,6447.1,507.36,511.22,687.41,560.66,1361.2,14994,289.02,1844.4
P15311,20114,593.38,2869.2,401.58,1180.5,2899.6,1516.9,10703,0,563.24
P15311,20110,917.64,3187.8,1210.3,1790.8,3250,1974.6,11223,1460,1317
P15311,108760,2589.4,15953,345.38,5540.8,10033,6673.9,52496,0,1353.5
P15311,33588,1444.7,5603.1,493.23,2109.6,4023.5,2520.2,18811,0,957.81
P52292,654.1,12585,351.54,1544.8,5748.7,437.51,559.46,1030.9,518.12,1081.2
P52292,3199,22581,1749.6,3993.2,12941,1682.1,2696.5,3833.7,1700.2,2640.7
P52292,625.37,4277.7,458.28,679.3,2297,369.58,735.52,705.75,480.24,451.45
P52292,2238.2,11650,1224.5,2398.4,8403.7,1166.3,1447.3,2526.9,947.55,1423.8
P52292,7564.8,76637,390.18,8461.4,41293,719.69,3344.5,6848,1695.8,4866
