Accession,TotInt_126C_Ecoli_12prot_MS2,TotInt_127N_Ecoli_12prot_MS2,TotInt_127C_Ecoli_12prot_MS2,TotInt_128N_Ecoli_12prot_MS2,TotInt_128C_Ecoli_12prot_MS2,TotInt_129N_Ecoli_12prot_MS2,TotInt_129C_Ecoli_12prot_MS2,TotInt_130N_Ecoli_12prot_MS2,TotInt_130C_Ecoli_12prot_MS2,TotInt_131N_Ecoli_12prot_MS2
Q14847,5678,2199.8,44484,2063.2,10472,73249,0,9775.6,2367.2,4164.6
Q96FW1,2192.5,18754,1392.4,4033.3,4624.3,2475,2553.3,3955.9,35075,2081.9
Q96FW1,1970,10295,1590.5,2744.2,3390.8,1936,2423.9,2716.3,19746,1849.5
P15311,55596,1434.6,9268.7,626.86,3110.5,5969.3,4094,30346,0,1325.6
P15311,40489,1752.6,10244,911.48,3272.5,4817.5,3488.3,22936,0,2283.1
P15311,165610,4758.2,24135,1554.2,9232.8,16599,10058,85842,0,3117.9
P15311,55299,2061.6,9687.4,839.12,3738.4,7181.1,4267.7,27515,0,1792.1
P15311,60746,5959.7,14570,5507.8,8594.3,10189,9063.6,35937,6424.9,6168.4
P15311,31996,783.45,5367.1,393.2,1531.1,3092,2155.6,16283,0,467.65
Q9Y2W7,5541.7,2614.9,4500,33759,5125.9,6466.9,3218.3,4034.6,3882.6,22948
P05089,4488.6,4483.8,41447,3996.7,8333.8,2509.7,23886,3682.4,6768.1,4365.9
P52292,12143,130830,224.48,35401,66237,5880.9,13463,13321,4978.9,11983
P06733,1177,100150,10633,15850,13357,9590.2,21119,233680,0,37209
O60861,5264,1844.8,22489,3345.9,2830.5,19032,3998.6,4560.5,2326.5,6370.7
O60861,9699.6,3867.1,43261,5324.2,5072,77155,2585.5,10427,2515.4,10457
P06733,1598.7,18167,3780.1,4631.2,5195.9,3671.6,5826.8,43072,313.95,8287.2
Q9Y2W7,1419.1,886.38,1322.9,12267,2123.8,2064.5,1016.3,1189,1054.2,7961.2
O15379,6427.8,7796.9,2513.8,3610.4,178470,3119.9,78100,13504,2555.8,12248
P05089,1177.1,641.49,19081,788.15,2533.8,170.8,10728,244.7,1825.3,923.12
P15311,271280,12432,41210,7540,20795,34845,22930,148540,5493,9895.4
O60861,3565.9,1069.3,15862,1576.3,2054.5,32931,937.82,4462,712.9,3700.4
Q14847,8768.9,3527.7,76763,2350.7,18489,154300,756.02,17876,3988.2,8691.9
P05089,3440,2019.8,37338,2975.9,9134.1,1792,20388,2030.9,6125.9,2970.7
Q15185,21621,376.45,2917.7,3638.8,4264.6,1548.7,1469.4,4814.4,2253,42987
Q15185,47538,1548.9,7363.3,5082.9,12210,2753.7,1046.5,11587,3060.4,114410
P05089,2762.2,844.84,44072,1884.1,7700.6,419.81,23771,1006.5,6020.9,2766.7
P06733,0,6447.1,507.36,511.22,687.41,560.66,1361.2,14994,289.02,1844.4
P15311,182570,5545.1,27613,2450.5,10622,20206,12686,93234,1460,4191.6
P52292,14281,127730,4174.1,17077,70684,4375.1,8783.2,14945,5341.9,10463
Q9Y2W7,6001.7,2313.8,5426.5,57395,4846.8,8993.7,2764.2,3948.7,3635.3,29392
P15090,1930.8,917.9,1015.5,11226,1872.7,1625,1149.1,1485.1,26048,3595
P15311,15407,1439.1,3670.6,1533.9,2011.6,2718.2,2691.2,8860.1,1688.9,1832.3
Q9H0R8-2,8568,4324,8761.8,59025,15803,10490,106440,10247,13689,13920
Q9Y2W7,35177,8468.3,27800,411380,37980,49043,11649,22741,16579,232830
Q96FW1,1612,16215,921.6,1824.8,3843.3,1636.6,2063.2,2594.3,24853,1083.1
P15311,45411,1316.9,9114.4,310.67,2701.2,5191.1,3026,25915,0,1741.3
P06733,5570.2,213190,21806,17454,29715,22774,49116,506200,5028.5,54037
P05089,4614,1660.4,77692,1831.8,9304.4,0,40679,653.34,7321.1,3638.6
P05089,854.5,423.94,12386,620.32,2145.9,195.61,6468.4,201.33,1540.9,773.09
P15311,255380,8092.6,44202,3776.5,16708,28103,18140,133610,0,8056.7
P15311,498960,18285,83891,5129.9,34209,56686,34590,278540,6296.4,14292
P52292,5702.9,72766,346.3,9338.3,33635,708.82,2998.5,6405.2,1519.2,5464.4
Q9Y2W7,2129.8,306.63,1291,21856,0,2073,720.64,808.02,636.75,10291
P15311,100760,2904.3,15664,1070.1,6310.8,9965.8,7002.8,52378,0,2636.3
O60861,4562,2226.8,16004,3465.6,2709.8,30204,921.15,4383.8,2032.5,4960.9
P15311,90083,3509.1,13698,1696.8,6072.7,11012,6544.8,47298,447.11,2484.9
