Accession,TotInt_126C_Ecoli_12prot_MS2,TotInt_127N_Ecoli_12prot_MS2,TotInt_127C_Ecoli_12prot_MS2,TotInt_128N_Ecoli_12prot_MS2,TotInt_128C_Ecoli_12prot_MS2,TotInt_129N_Ecoli_12prot_MS2,TotInt_129C_Ecoli_12prot_MS2,TotInt_130N_Ecoli_12prot_MS2,TotInt_130C_Ecoli_12prot_MS2,TotInt_131N_Ecoli_12prot_MS2
O15379,41010,49960,24750,35059,899400,30541,427720,83143,33381,75227
O60861,287380,58520,1315200,117810,126930,2549900,44431,301250,34097,289800
P05089,57213,27196,854210,35449,132860,15436,444430,19300,103050,50897
P06733,42575,1019200,122130,128760,168680,128560,249990,2368500,35606,307610
P15090,23225,13252,13760,128720,20224,17405,15823,17552,245740,27536
P15311,5042800,183410,845020,86695,329510,573680,381730,2753700,67569,168460
P52292,200220,2062300,24798,352280,1027400,56453,134390,214660,74978,170640
Q14847,114250,55088,840410,46923,227250,1601700,15735,211540,59336,108890
Q15185,210260,8992,33727,27239,51447,17260,11486,55402,18531,458000
Q96FW1,30406,262530,13012,35177,62663,28918,35295,50520,488280,22983
Q9H0R8-2,15663,6817.8,14017,124250,30834,16948,236410,18186,24679,26294
Q9Y2W7,111140,33671,92929,1209500,97112,169220,43778,74320,57040,665460
P00350,296350,338740,301910,347210,386530,311090,372360,362840,337790,325530
P00363,140290,136070,124960,151880,163600,125230,150880,152300,135560,123510
P00370,151630,149610,153870,170510,184490,159900,179550,177240,158740,162740
P00393,27672,27257,27021,28142,31510,28034,31810,29579,28102,27936
P00448,167630,179930,165620,171580,189910,165490,184120,201140,179350,175560
P00452,344590,327550,340230,375190,391640,331090,400070,381840,344230,359890
P00490,281990,273270,294660,314800,325020,302390,336510,329530,297650,311870
P00509,394320,396480,368870,447140,478440,371910,475570,460510,395720,392200
P00547,15984,17381,13860,22146,17605,15527,16666,17634,15264,16108
P00561,112950,107060,108870,125420,126650,114180,133180,126190,111460,117490
P00562,123670,120230,112160,141670,148730,113570,140140,141190,124690,127720
P00579,430530,398780,448240,462180,483750,450040,482900,466280,427780,438300
P00582,194280,191340,187630,216860,228410,190290,226400,222120,199860,207320
P00634,21578,21532,23555,23894,24978,23935,25875,23172,23744,23902
P00722,9908,8849.8,10012,9052.2,11725,9340.1,10267,10719,9552.7,8387.1
P00803,62199,54679,58224,64422,65321,58815,67027,66805,59580,59447
P00805,132410,163210,126570,163910,184140,133840,164310,164760,150190,136840
P00811,23797,23718,23638,25814,26326,24787,27340,26459,24640,24877
P00861,4329.5,4807.4,3799.5,5054.6,5648.1,4058.2,4379.6,5222.9,4560.8,4414.2
P00864,425750,406190,400660,472670,501750,409110,497330,479590,417720,436470
P00887,61908,62714,63693,70765,73190,48789,72820,68916,65642,64747
P00888,2808.7,2939.7,2604.8,3362.8,3810.7,2820.8,4121.1,3361.1,3545.4,2982.5
P00893,26347,26726,25224,29007,30195,26165,30156,30054,26313,27891
P00894,118.69,325.06,139.32,294.92,129.86,277.2,257.35,377.65,340.61,156.16
P00895,89372,96818,89273,104840,116740,89692,107620,111240,97436,93426
P00903,2662.5,3150,3144.3,3301.1,3534.5,3188.7,3416.7,3262.2,2992.8,3026.4
P00904,48425,47947,42615,53151,54387,44559,53181,57600,45568,48309
P00909,90395,104420,85899,106410,124570,87342,114010,109160,102270,89811
P00914,20271,21030,18991,23604,22861,19241,24656,23044,21881,22151
P00926,39097,37925,36388,42938,44714,39692,45105,45220,40158,40568
P00934,41855,49152,38505,48803,60547,42404,52000,51793,45991,41560
P00935,64269,65467,61577,72025,73789,62770,73887,73228,63179,63173
P00936,15576,15645,15770,17556,19470,16144,18538,18026,15522,16298
P00946,89924,118340,91733,109180,135480,100290,117600,117420,115090,98657
P00954,99966,109120,97640,120350,131490,104310,123370,123010,111030,111310
P00956,346130,333350,342690,382710,403410,339240,394840,387190,350190,361580
P00957,777120,736340,739760,865910,909350,763040,907660,873980,783240,815260
P00959,317460,307350,303600,358170,368460,305500,369770,359720,318280,321910
P00960,111380,132610,109120,128450,150930,113700,132470,140720,125220,126490
P00961,394000,400110,382020,436490,471810,383290,462220,451080,404040,403900
P00962,390730,399100,377890,438410,449270,368240,448000,430530,384950,402140
P00963,78658,86370,80467,92757,101360,86657,93009,98060,86121,86053
P00968,163460,154800,152680,181110,186150,154740,189330,182410,163370,159890
P02358,111790,162810,127410,146990,185800,134790,151920,153650,148030,131540
P02359,279200,259130,299240,308170,320220,298830,321010,324760,302260,332090
P02413,332740,307720,340430,356550,365270,346840,371630,364290,341450,366450
P02916,6308.8,5434.2,6196,7516.9,6396.3,6757.4,7229.6,6951.3,6164.4,6721.6
P02918,14923,15149,14675,16827,17100,16375,17922,16192,15962,15784
P02919,51148,50435,48219,55796,56259,52305,58054,56313,53393,53072
P02924,44099,57283,45451,55358,61529,47968,55716,55869,53318,47517
P02925,233620,325380,247240,280700,344690,260140,295870,301070,288620,252100
P02929,23120,22308,19474,25138,25554,23174,26041,25199,22651,23017
P02930,40290,50034,40480,44742,51968,46286,49910,51695,49580,46862
P02931,42470,49314,37583,49420,57085,46991,56539,50665,47243,42364
P02943,47649,57675,46068,55182,65178,49917,62532,62525,57024,49362
P03004,67072,70613,66687,79191,83170,71014,80738,79480,72660,78483
P03018,70198,68069,68545,77543,80778,70875,79381,77705,70610,74124
P03023,34036,48798,39324,37255,53507,48390,40508,37888,31087,36195
P03024,10716,13628,11816,13693,14839,13206,13078,14435,12491,12286
P03813,21639,26752,21042,26974,31313,22038,28830,27486,25259,21615
P03817,50087,69377,55763,62898,75347,58998,68277,64735,64115,56137
P03819,3125.3,2823.9,3088,3089.3,3467.9,3060.3,3881.8,3582.7,3822.3,3278.5
P03841,37810,53489,40060,46761,55915,43810,49506,50591,49301,41838
P04036,50457,61956,47951,60159,73451,51284,64553,60589,58245,50568
P04079,283910,363200,282380,346650,435430,285890,362550,354890,322780,310920
P04395,5812.6,5050.1,5319.8,6543.8,6240.6,5364.5,6563.9,5820.1,5849.4,5432.1
P04425,72944,82047,61350,74542,92094,63861,81403,85111,75661,63668
P04693,114930,123900,105470,124650,149860,103330,136460,132990,117400,102770
P04805,248360,246800,245940,281430,299280,240350,289290,286990,249640,255380
P04825,366660,402560,347840,416190,477290,334820,430230,429400,389880,386310
P04846,12745,12586,11777,13553,13792,12724,15029,14182,13786,14099
P04949,8294.1,11377,8814.9,11017,14117,10735,11249,11905,11434,10023
P04951,118010,144860,114510,140070,165620,123730,144430,142670,133790,119090
P04968,32945,33469,31634,38174,39501,33456,39971,39268,34332,35146
P04982,10755,14445,12002,12603,15385,12726,13324,14028,13499,12240
P04983,48273,49285,44885,53399,59111,48057,55916,56529,50023,50173
P04993,41986,40980,42229,48380,48859,45549,49542,48520,45702,47717
P04994,69891,69023,70185,77732,77954,75318,80293,77918,73957,74317
P04995,33616,33378,31996,38191,38843,34411,37502,39362,33846,33446
P05020,102270,101220,103820,111170,127480,89981,114590,115890,98978,104990
P05041,10324,12862,9384.2,12106,13808,10632,11988,13210,11090,10595
P05042,224830,228570,218030,254890,283110,211560,265360,268520,231560,246080
P05050,4801.5,4895.5,6578.7,7039.2,5614.5,5656.3,6160.5,5739.8,5207.4,4586.4
P05052,7235.4,6890.4,7300.4,8385.2,8462.7,7046.4,8878.5,8612.3,8008.6,7576.4
P05055,303250,309140,299710,332370,361130,313910,358810,350340,321800,317090
P05100,8478.4,9944.5,8258,10600,11141,9335.8,11974,10440,10193,9700.4
P05194,26448,33788,27617,32459,38181,28843,33986,35521,32421,27262
P05458,105360,105240,102090,117010,123900,104470,123150,123030,107760,116540
P05459,219220,219140,211110,250670,262500,207970,259320,251210,220120,224590
P05523,31355,30996,32555,35364,38886,32691,39611,39314,32772,32522
P05637,14986,18863,15754,19657,21664,15615,21302,18411,20420,17178
P05707,20530,20205,19965,23727,25937,19815,25194,24142,21909,21821
P05791,108220,106930,95800,117030,121340,97836,119850,116060,99519,107610
P05793,92703,98449,85397,104720,114090,89089,114560,111690,95951,89264
P05804,46040,45344,43871,50115,52050,46348,52273,51572,45896,47671
P05825,14279,14988,12906,16253,17394,14846,16568,17062,14714,15398
P05827,8105,8475.1,7857,10323,10699,8869.4,10292,9833.3,9639.1,9918.8
P05852,30562,30054,28433,35167,37118,31116,37027,35446,32898,31964
P06129,13534,17056,13733,17729,20297,14858,18801,17640,17268,14660
P06134,4416.9,3975.9,4471.2,4546,5190.4,4659.3,4613.5,5035.7,4283.6,4603
P06149,286040,272210,278560,312740,323740,277510,326040,317430,281380,299820
P06282,5049.1,4671.8,4654.6,5124.1,5874.2,5185.6,5999.4,5760.8,4684.3,5204.8
P06610,9932.3,15216,11615,13854,16803,12421,15253,14451,14379,10083
P06611,852.02,783.88,703.74,788.37,762.51,792.65,696.94,868.56,947.83,818.43
P06612,231900,225050,232070,257070,260510,243660,263550,255580,238670,258250
P06616,47437,49182,44573,51860,55251,48068,51507,52139,47642,55117
P06709,22086,21289,19768,25565,25016,23063,26455,26536,22897,23730
P06710,93275,88754,90418,104870,105620,97789,105400,105310,93163,98704
P06715,306010,317160,279960,345880,365550,283850,342040,353580,306350,310140
P06720,63089,68626,57304,70885,81544,58102,71534,74311,66613,63927
P06721,34565,34597,33759,40675,39281,34677,39902,39564,36032,37433
P06846,5477,5823.9,5131.6,6166.8,6646.1,4753.8,6468.3,6648.9,5834.5,6176.2
P06959,329880,337540,340650,361940,380400,333200,377330,365870,341220,339340
P06961,29239,27994,27313,31279,33578,29030,32941,32980,29879,29902
P06966,28850,30321,28612,31968,32786,29330,34045,32027,29665,33387
P06968,5167.3,8369.2,7417.2,6625.9,9130.6,5605.3,7249.5,7227.3,7462.3,5561.6
P06971,56367,60766,48868,59738,69091,50543,66373,63798,58381,52650
P06974,15834,15643,15130,17817,20073,16600,19325,18913,16439,16591
P06983,30881,37669,31447,37732,44481,34045,39761,39125,37243,31832
P06986,45203,54209,41950,54327,64215,43407,58376,56234,51046,42912
P06987,84417,86910,88991,98336,104500,92616,99135,101300,90354,91465
P06988,44042,56766,40863,52941,67976,46378,59622,57955,53811,45932
P06989,10746,13081,10245,11415,15462,12139,13201,12410,13098,10699
P06992,45952,43868,44511,52460,51994,47865,53714,52344,48209,50276
P06993,125650,121120,133430,138160,142060,121810,146010,142450,129470,129520
P06996,69524,85257,63467,79353,100780,71477,88252,85131,83928,69217
P06999,44515,56063,44847,55281,64706,45289,59384,57417,53295,46652
P07000,3632.9,4181.6,3474.1,4481.6,4268.4,4420.2,5278.2,4485.5,4127.2,4344.4
P07001,42909,38017,39894,47189,49265,45406,49262,47062,44875,40315
P07003,147010,142570,136220,164030,167520,140520,167220,165190,140070,142730
P07012,119190,139090,125340,141750,157140,129120,139050,142980,132600,125420
P07014,155270,177770,155050,190220,208170,166170,197040,190640,174050,173700
P07017,11169,10949,10733,12085,12997,11490,13076,12682,12076,12396
P07023,40593,43054,36741,47466,51233,38246,47059,47321,42358,41086
P07024,56102,65059,56359,65157,72116,59901,68377,69255,64871,60942
P07026,1260.1,902.19,1152.9,1319.9,1075.1,1195.3,1191.1,1123.5,1152.4,1208.4
P07102,92384,99004,90087,111160,115980,94828,115880,109310,103240,100170
P07109,14878,13983,15364,17453,17577,15181,18635,17820,14672,15365
P07117,7341.2,6434.3,7283.8,7579.2,8093.9,7125.9,8689.1,7192.6,7662.3,6992.6
P07118,528660,495860,513170,573870,585270,521030,598630,579140,519150,545720
P07363,6383,7962.8,6670,6589.2,8581.4,7177.9,7766.2,8038.6,7887.9,6298.5
P07395,336140,328950,314960,368160,380190,312380,387970,384350,329660,324840
P07604,140060,140910,132770,167050,166090,143900,163730,167530,144690,149760
P07639,101090,108900,98592,118590,130590,99493,120390,119020,106330,102440
P07648,13664,13320,15656,15257,16885,13624,17464,16119,15660,13553
P07649,11451,12558,11192,12635,12808,12678,13348,15969,12195,12379
P07650,62524,73779,59192,74669,85578,59550,78826,77889,69367,62880
P07762,95828,92021,90512,107170,108200,92570,109740,107110,96180,100820
P07813,580050,559500,566380,639720,662050,563680,664190,642440,572750,589520
P07821,20353,22751,20143,22873,28108,20009,23712,24311,21464,19977
P07862,34776,48448,37138,43806,51160,41312,45460,45061,44027,37918
P07913,67679,67279,67151,77054,86781,64789,78017,77046,72007,72743
P08142,15361,15798,14041,16544,18954,15532,17284,17733,14984,14268
P08178,20980,22817,21246,23685,26964,22092,25088,25359,23814,20823
P08179,2380.5,2707.5,2641,3114.8,3941.2,2876.7,3151.8,3402.2,3108,2862.2
P08192,54661,56270,53554,61143,68655,57016,63556,65361,57046,57153
P08194,75294,70695,70374,81780,81971,71302,84462,80858,76103,83691
P08200,857770,1096200,762030,971430,1173600,792690,1067900,1048900,908210,802250
P08201,25508,29972,24048,32908,31258,22200,33684,30190,27520,26905
P08202,55119,52407,52794,58715,60488,53530,60332,61849,53648,54878
P08204,1230.6,1316.3,1117.8,1226.5,1679.4,985.67,1551.4,1584.1,1161.6,1245.6
P08244,46971,55144,42501,53118,63552,43726,56117,56135,50546,44183
P08245,53650,58074,58105,62357,64136,59303,68894,64712,61536,59178
P08312,98622,111480,100160,117050,129930,100880,115640,119570,109080,108710
P08331,129050,138590,121580,143290,160780,119480,152730,145800,136780,118150
P08337,1995.1,2171.9,1884.7,2553.6,2656.6,2695.5,2824.2,2506.6,2436.2,2367.2
P08368,23120,23069,24294,25747,26755,24067,26781,26342,25245,25809
P08373,28635,31882,27519,33961,39959,27408,35938,36182,31771,29407
P08390,38424,51224,36834,49071,59522,43126,52751,51154,46508,40446
P08394,28716,27269,27764,31340,34717,28825,35432,32142,30958,29006
P08395,8945.3,8472.7,8291.8,10205,9638.8,8901.2,10598,9844.6,9400.4,9784.5
P08506,57867,51822,58821,62321,66920,59815,69088,65245,59988,59640
P08622,184960,181280,187600,195970,209010,183950,211900,206410,188320,201030
P08660,4527.2,5820.2,4627,5522.3,6365.1,4804.5,5893.6,5711.8,5857.3,4665.8
P08839,575120,728410,605880,659580,800510,627070,754600,737860,693860,644870
P08997,494840,472260,477370,548450,590180,486790,594010,574540,507800,528360
P09029,6832.5,8385.4,7020.7,8405.8,10430,7512.4,8761.1,9369.2,8306.7,7898.2
P09030,57281,65441,54002,66600,77219,55512,67571,69922,61981,56194
