Media_2.1,Media_2.2,Media_3.2,Exo_2.1,Exo_2.2,Exo_3.1,Exo_3.2,Accession
2192.7,2451.2,2618.8,5948,5236.2,9566,11218,A0A0B4J1G0
16166,19475,20181,37464,30435,66189,77581,A1L314
4963.1,6536.9,4125.3,2281.3,1715.2,2335.3,3045.4,A2A432
225.3,710.05,479.9,89.244,93.066,354.58,102.32,A2A4P0
8682.4,11858,9156.5,14046,12271,11821,13981,A2A5R2
0,0,0,2137,1803.1,774.7,833.72,Q80Y50
5387.8,6841.7,4641.7,3573.8,3137.2,4190.9,4936.8,A2A8L1
4169.7,4256.1,4500.2,3296.6,2717.5,2732,3992.5,A2A8Z1
3417.2,4262.8,4033.3,4074.7,2852.9,3725,4908.1,A2AAY5
1154.6,1239.8,1233.9,737.55,723.29,1004.1,1158.4,A2AB59
655.12,724.68,460.42,634.73,381.47,223.13,386.65,A2ABV5
7945.6,9640.4,7959.8,6384.2,5495.6,8830.6,10146,A2ADY9
16149,19841,15018,14235,11317,14658,17808,A2AF47
820.61,934.09,813.06,735.58,377.71,559.16,839.14,Q8R3R5
384.96,686.88,99.648,197.37,89.851,299.74,0,A2AGH6
29501,37104,25176,17408,14011,17331,19991,A2AGT5
4063.7,3758.5,2443.3,1813.2,1356.8,1316.8,1364,A2AHC3
174.98,399.47,150.05,138.24,97.193,178.39,104.84,A2AIG8
737.29,1209.5,624.7,470.18,234.59,184.71,589.01,A2AIV2
6722.8,9396.1,6760.7,3467.4,3007.2,3461,4136.5,A2AIV8
1993.8,2497.1,1755.7,2104.4,1631.2,1774.8,1862.5,A2AJ15
528.97,850.91,583.19,538.7,348.04,882.05,989.78,A2AJ88
217.45,354.62,104,116.67,239.92,362.46,411.11,A2AJI0
962.09,1355.2,662.54,418.66,465.07,808.8,1122.3,A2ALW5
174.89,439.66,162.14,288.28,191.22,127.68,263.75,A2AMZ4
18303,24447,16649,15906,11991,14837,17435,A2AN08
5077.1,6666.5,5015.6,7218.9,5236.3,7149.5,8528.6,A2APV2
1029,1416.3,846.68,738.91,921.83,757.02,787.74,A2APY7
5021.9,6644.7,5024.6,3741.7,3044.2,3921.7,3916.2,A2AQ19
70.426,0,624.67,0,151.17,8447.5,9584.4,A2AQP0
4978.2,5724.4,4940.6,3837,3279.2,6790.6,4578.3,A2AR02
3666.1,5976.8,5605.9,25288,20106,82978,66491,A2ASS6
322,492.26,399.5,190.72,381.64,214.19,267.12,A2AWA9
1106.2,1076.6,1238.6,879.99,727.17,922.48,769.47,A2AWL7
3838.8,5060.9,2983.8,2392,1822.1,2187,2600.7,A2BDX3
