Media_2.1,Media_2.2,Media_3.2,Exo_2.1,Exo_2.2,Exo_3.1,Exo_3.2,Accession
17176.66705,18373.79175,20207.48724,43608.93067,38753.78809,69712.2168,84569.28662,A0A0B4J1G0
222416.0368,278006.1337,258481.5857,413029.6239,342793.1417,690879.4978,790929.1758,A1L314
42303.34228,59989.46667,47089.58716,22846.6297,17203.65692,28344.86145,28281.44324,A2A432
14561.08765,19857.98132,18019.55688,11564.88159,8860.283203,19871.95508,18646.28082,A2A4P0
97031.87878,125523.489,93152.52063,128637.7343,111808.7546,116842.8676,134418.8376,A2A5R2
6536.311768,7659.449829,6598.128845,4603.275879,3043.767273,4302.922363,5851.34143,A2A6Q5
746.985718,2663.21875,528.956421,431.023132,783.077209,1919.733521,50,A2A791
5547.547852,3635.241211,2488.201904,3717.31665,3023.268311,2869.040283,2266.415527,A2A8U2
33243.90918,34072.03504,31264.33691,26994.20776,24544.97937,22127.1283,30489.87866,A2A8Z1
39635.10907,51027.50244,51220.08557,45385.12604,30521.25262,38892.19629,53988.84076,A2AAY5
13212.50263,13197.58472,11451.37964,8646.60614,7979.676391,12775.1499,14745.5625,A2AB59
6080.942139,7273.191651,5530.063598,6275.820069,3825.61438,3628.414978,4615.364258,A2ABV5
65251.65747,80474.79541,64319.6814,55253.07446,45392.76807,70195.14551,77975.12622,A2ADY9
128975.0292,153397.5051,118699.4605,119079.1302,94187.73468,117744.348,144631.9883,A2AF47
4461.106812,5924.772949,3878.395996,86641.73743,85005.13141,34066.83289,44827.15234,A2AGH6
279713.1177,348902.9106,235117.6252,176426.8965,141747.9696,154293.2609,175941.27,A2AGT5
1914.784302,2925.896911,2314.120728,1370.546997,1230.985992,1741.241211,1346.223084,A2AIG8
16283.60974,23025.02075,16343.08325,11202.92554,8935.175048,11892.57703,14082.35932,A2AIV2
54225.83472,75137.08789,59000.95239,31001.58594,25980.79925,30638.67835,33007.15546,A2AIV8
15623.33179,19994.45361,14665.84693,15593.71948,15939.75977,13917.43475,14669.49243,A2AJ15
14372.76502,20845.00269,13521.79071,14629.27112,12163.39764,22157.30615,24680.47034,A2AJ88
684.370422,1968.792358,626.138428,570.744446,812.346802,942.882751,851.888611,A2AL36
5816.618164,7916.624755,4008.596435,2747.253845,3001.6391,4825.520508,6643.879639,A2ALW5
188681.2493,252889.1922,184160.4249,163682.9165,128973.9935,159659.2833,180244.1038,A2AN08
10998.55469,14372.88477,7788.211426,8483.898438,8148.635742,4672.572754,5456.294922,A2APB8
50546.36572,63565.31152,47618.58252,58628.20264,40476.06226,64142.8086,73607.99268,A2APV2
50147.71765,61258.03742,47233.38644,33357.24573,26188.4054,34835.81531,38263.12622,A2AQ19
33963.00781,47514.98193,33317.88941,27495.74439,22361.68506,29413.37695,31229.81104,A2AR02
87518.60538,136453.9095,117905.0281,174217.5717,143031.7006,903015.9392,742167.4042,A2ASS6
9791.643798,11748.99121,8346.412354,7471.590088,4120.268189,5565.599121,6487.502197,A2AVZ9
2033.67627,2827.602051,2399.681885,972.487854,2286.223145,1180.425415,734.22876,A2AWA9
54429.91345,75405.84448,44682.90723,38116.40338,26647.05988,28542.26203,37385.79346,A2BDX3
37705.64465,47046.87036,27816.90845,21622.64581,16412.59448,18888.87909,19148.66315,A2BE28
167147.5555,208769.2009,141082.0894,126289.3444,102010.2738,116415.7326,141762.2845,A2BH40
32625.51025,38510.16455,32648.1167,48859.28345,40941.97974,49055.93457,55968.1709,A2RSJ4
435.793396,903.122559,563.9375,612.013672,772.976318,944.96051,1140.936523,A2RT60
36265.67261,40804.28906,33177.09522,28880.15649,36430.9126,26474.79572,30788.96985,A2RT67
