E15_1,E18_1,P0_1,P3_1,P6_1,P9_1,E15_2,E18_2,P0_2,P3_2,P6_2,P9_2,E15_3,E18_3,P0_3,P3_3,P6_3,P9_3,Accession
8906.1,4266.1,2906.9,1608.2,1013.4,810.48,23115,12355,20755,6259,6955.4,7758.5,13755,4611.9,3238.4,2267.4,3560.8,2026.1,A0A087WP63
2498.8,5037,2250.3,2559.1,1810.3,1639.9,1355.6,1561.6,2404.3,1567.1,1798.4,1675.1,2755.9,2882.1,2381.3,2624.9,2155.9,1736.1,A0A087WSK7
88123,70234,42554,36643,25881,24600,61446,52567,63199,35059,41047,29101,133570,56487,43514,26690,55553,42712,A0A0A6YVU8
92219,107040,49472,47676,31678,26025,31714,27780,44783,18386,23499,19778,44451,22175,18551,13946,18852,15059,A0A0J9YUD5
11859,8304.5,5277.5,5141.7,3501.2,3581.7,45597,32483,43190,20568,24348,22483,5873.8,4820.5,3262.6,2665.8,3645.4,3504.4,A0A0U1RNF2
441650,383530,217510,163210,120850,111220,479640,282220,310440,151640,188260,156780,390350,216880,138970,100680,144030,107410,A0A140T8M7
14939,47041,33707,20170,17470,17287,5397,7556.4,10060,10775,9067.5,8655.3,2285.1,25881,16407,5416.6,2870,5101.8,A0A1D5RLM8
7480.1,7200.6,4832.2,4370.7,3221,2062.5,1902.5,1698.3,2104.3,1393.9,1334.4,803,1665,2428.8,1853.5,1517.2,989.53,490.02,A0A1L1SQU7
42557,19762,10001,9312.8,3575.9,9134.3,25923,13122,8828.8,4502.2,1555.2,7302,7913.1,4933.2,3712.7,5753.7,13673,4003,A0A1Y7VJN6
30522,21446,13094,12712,8778.4,10208,11932,10161,12398,4826.3,6500.2,5512.4,638.93,349.18,250.69,375.37,599.19,529.92,A0A1Y7VKT9
10512,8730.5,5316.9,4583.1,3160.1,3346.9,2728.6,2313.4,2024.2,1023,861.1,734.55,3995,2705.8,1192.3,1113,1201,757.03,A0A286YCV9
50419,55594,30734,28440,18941,16077,27956,31547,36465,24221,24879,22203,29530,19000,15226,11239,10103,7346.2,A2A432
38489,23359,18569,10987,7149.6,4099.1,10818,9049.9,7326,3014.5,3302.3,3467.8,1990.5,4252.8,3660,2012.6,1185.8,633.02,A2A484
11318,6673,4805.6,3079.1,1842.3,1376.1,7740.4,4822.4,4577.1,1830,1701,1996.7,2253.3,572.9,574.18,372.93,221.52,0,A2A4P0
19940,12653,7437.1,5374.7,3841.7,3389.1,16853,7453.7,10545,2327.5,3168.9,3187.3,9569.3,2301.7,2316.2,899.25,1221.4,638.96,A2A654
27530,15605,10912,7226,4830.6,3960.4,20887,17568,16820,8484.2,9232.4,11904,19272,10419,8459.2,4380.7,4972.4,3605.9,A2A791
48829,30303,23412,16765,11715,11051,21564,11184,14425,6189.5,6877.8,5360,479.53,404.84,374.65,362.74,123.45,0,A2A8L5
17784,18122,10344,9194.9,7093.3,5721.3,16132,16928,18033,11348,11833,9365,3400.5,1944.1,1738.7,1358.4,1494.1,1138.6,A2A8Z1
1426.6,2620.2,1761.6,2186.4,1824.2,1945.7,1004.8,1230.1,2227.5,2019.8,2283.5,1564.9,2911.3,2378.2,2292.7,2089.6,2528.4,2146.1,A2AA28
35349,23839,14318,12349,8013.6,6552.4,34750,26659,21106,10888,10996,9643.7,15168,5354.2,4704.9,2482,3070.2,1887.3,A2AAY5
128150,86760,51726,39895,27891,26522,29820,16258,22802,9990.6,12986,10509,22311,8610.6,8684.8,6173.2,8563.9,7450.5,A2ADY9
11279,8536.5,4537.3,6961.5,3565.8,190850,30236,22461,36057,30948,30200,344430,4184.7,1950.7,754.11,1448.3,5487.8,92253,A2AEP0
