"","Accession","Media_2.1","Media_2.2","Media_3.2","Exo_2.1","Exo_2.2","Exo_3.1","Exo_3.2","logFC","logCPM","PValue","FDR","candidate"
"A0A0B4J1G0","A0A0B4J1G0",1829.63152467903,1638.70494748084,2500.40283374915,7317.49161095284,7923.66212832122,11163.6267681084,11435.8319991661,2.24933748911112,6.0748634259896,3.38474062804325e-19,2.38599687171049e-17,"high"
"A1L314","A1L314",13489.2248041051,13019.6552105864,19268.6076019137,46089.8630989807,46055.6619066224,77243.2879107598,79087.4739104393,2.02535128891072,8.82227958382242,3.32392164856794e-13,1.13059824465975e-11,"high"
"A2A432","A2A432",4141.30716474414,4370.12498824556,3938.79326793392,2806.55575186058,2595.52066049742,2725.3206765172,3104.53581478522,-0.563610750343308,5.18791899353919,0.000247514846074993,0.00119554340745657,"high"
"A2A4P0","A2A4P0",187.994701742229,474.690946458376,458.203497753252,109.791900021499,140.831813077106,413.798743407472,104.306857742439,-0.958936261711282,1.55056072001585,0.135688441930111,0.23271811761215,"no"
"A2A5R2","A2A5R2",7244.7634194706,7927.44911358838,8742.53037544832,17280.007929967,18569.0496880619,13795.2364651693,14252.4841487201,1.00280955632829,7.07785901510232,2.21796901035783e-09,3.69458947478785e-08,"high"
"Q80Y50","Q80Y50",4.172097242393,3.3426585906512,4.77394767402846,2629.03153540791,2728.53504136129,904.08338461777,849.90924000221,8.71962132349432,3.45645171136964,4.12923407374128e-29,8.73243240638156e-27,"high"
"A2A8L1","A2A8L1",4495.68510451301,4573.89345593166,4431.84658370758,4396.64618682301,4747.35740211782,4890.826199296,5032.66316754175,0.0829410838043687,5.64734172752447,0.549684382862386,0.667415086930267,"no"
"A2A8Z1","A2A8Z1",3479.27877432122,2845.33784553411,4296.74386453258,4055.62253609064,4112.24778154252,3188.27392122854,4070.0266764727,0.123412384547691,5.32514761042415,0.537967292763622,0.657290357197251,"no"
"A2AAY5","A2AAY5",2851.37813934107,2849.81700804558,3850.9526307318,5012.87543159878,4317.14137845912,4347.11579669704,5003.40586870274,0.552605100262534,5.44128420885669,0.00199787386259819,0.00715059489895335,"high"
"A2AB59","A2AB59",963.420695213392,828.845624137871,1178.11480699674,907.366499270052,1094.51617218469,1171.79569703718,1180.89390157194,0.136812833178282,3.49682447177772,0.567244051317193,0.681253102618969,"no"
"A2ABV5","A2ABV5",546.644869087301,484.471565494622,439.604197615237,780.872806022209,577.258201002769,260.395153749533,394.157999864288,0.0377253068101931,2.42771585279928,0.943606374511053,0.96523688866914,"no"
"A2ADY9","A2ADY9",6629.96316983157,6444.91317546276,7599.93373914635,7854.12406567672,8316.19831030177,10305.4069139095,10343.0158195346,0.417505495054629,6.46696890850231,0.0111941966131575,0.0306062801160191,"med"
"A2AF47","A2AF47",13475.0396734809,13264.3378194221,14339.0292337119,17512.5240554663,17125.4123803925,17106.0465363719,18153.7971332814,0.351827634126766,7.41558725336731,0.00383145583437359,0.012440721747926,"med"
"Q8R3R5","Q8R3R5",684.732943616025,624.468792588275,776.301179169116,904.942918491038,571.568393584701,652.54584399493,855.434485985048,0.102066682239384,2.96722711296781,0.720441375864363,0.805569391311324,"no"
"A2AGH6","A2AGH6",321.218110886322,459.201066549299,95.1428675643177,242.813268200027,135.966725085327,349.799862792475,5.09709039007227,-0.669782707582313,1.32085681309751,0.500463493788911,0.627013639482494,"no"
"A2AGT5","A2AGT5",24616.2081495672,24805.2008695044,24037.7813282681,21416.0884269447,21202.0988655721,20225.4668114245,20379.1867975869,-0.234996189815919,7.91313104544288,0.0392495429356558,0.0858793418079307,"low"
"A2AHC3","A2AHC3",3390.83031278249,2512.6764625925,2332.83727039075,2230.67851193337,2053.17305979646,1536.7200217693,1390.48625841171,-0.606718279641478,4.5719734145146,0.0129419762392907,0.0344364181771937,"med"
"A2AIG8","A2AIG8",146.006715094786,267.058365441487,143.266169697594,170.06893750809,147.076982017097,208.183083751083,106.875791299035,-0.230566467278338,0.887706891140421,0.647494682293913,0.748790807103565,"no"
"A2AIV2","A2AIV2",615.209115168788,808.589113078524,596.457022393116,578.43614755175,354.992532501218,215.558592968566,600.447442131293,-0.622496370409335,2.54138632616151,0.139041621780954,0.237380992749231,"no"
"A2AIV8","A2AIV8",5609.63506823194,6281.59087672354,6455.04560796085,4265.74821987523,4550.63533713143,4039.02490533381,4216.82287970679,-0.518841039108965,5.76832777849948,0.000177611371131791,0.000900835984551649,"high"
"A2AJ15","A2AJ15",1663.66549637663,1669.39055334302,1676.32398625835,2588.9255793694,2468.40794158313,2071.21103784642,1898.66617030192,0.43464889094803,4.43383027894113,0.0232599515187104,0.0561192481086346,"low"
"A2AJ88","A2AJ88",441.382855661726,568.860324274202,556.823708803332,662.732469875638,526.67036536819,1029.36201032929,1008.99962525715,0.627160102048548,2.88671521949183,0.062939139323141,0.126033626712144,"no"
"A2AJI0","A2AJI0",181.444509071672,237.074717883345,99.298111619792,143.532573343959,363.05813716566,422.994789710284,419.092966052522,0.965265296460855,1.53154783111791,0.0919876016469529,0.171165912169388,"no"
"A2ALW5","A2ALW5",802.786607186777,905.9941844101,632.586258390163,515.0539740823,703.765621255558,943.87845808552,1144.09290895562,0.0828773561309096,3.12257612987046,0.813377463354874,0.875911597865599,"no"
"A2AMZ4","A2AMZ4",145.931617344423,293.926655193141,154.809575173395,354.654754809261,289.363025128449,149.003958368397,268.871518076312,0.421260091513703,1.36156090370485,0.429437102673576,0.559816061141257,"no"
"A2AN08","A2AN08",15272.3791655038,16343.59491313,15896.29096498,19568.2618634526,18145.3406250143,17314.9414968037,17773.554190182,0.200646003050516,7.53213473252919,0.104458200564052,0.18988664640968,"no"
"A2APV2","A2APV2",4236.43098187071,4456.76669891524,4788.84239077143,8881.00877442964,7923.8134529866,8343.54480227797,8694.20902015407,0.912747332885638,6.18622240424131,1.87148577842927e-11,4.74109730535414e-10,"high"
"A2APY7","A2APY7",858.61761248448,946.841472387858,808.401203329284,909.039631178407,1394.95616281852,883.450630984051,803.036396775105,0.195392908677142,3.34776582610662,0.480806380724105,0.60775525879471,"no"
"A2AQ19","A2AQ19",4190.37102831469,4442.19270746,4797.43549658468,4603.20416286185,4606.62546331986,4576.66685098168,3992.2450771202,-0.0103252546042543,5.58582991896001,0.940103616054998,0.962260940339123,"no"
"A2AQP0","A2AQP0",58.7648240785539,3.3426585906512,596.428378707072,6.15122025130535,228.757496646102,9858.32501814717,9770.51062692173,4.49893444595578,4.98112178265862,0.0457056634414376,0.0969103517781833,"low"
"A2AR02","A2AR02",4153.90689841617,3826.94296726474,4717.23317566101,4720.44642085172,4962.23842694912,7924.70457155729,4667.20178657357,0.395721223907089,5.75001235484587,0.085370180388896,0.161008358825743,"no"
"A2ASS6","A2ASS6",3059.0651400674,3995.68037292081,5352.45465316723,31110.4115430019,30425.3372201265,96836.234786128,67782.127425259,3.77297879310732,8.51958618369776,3.57401583698664e-14,1.39072104248824e-12,"high"
"A2AWA9","A2AWA9",268.683062410109,329.091423566792,381.438419154874,234.632145265791,577.515452933905,249.96207583746,272.306956999221,0.031611318381639,1.84026295288084,0.961341948315513,0.975379064790709,"no"
"A2AWL7","A2AWL7",923.034793907028,719.741247739016,1182.60231781033,1082.60246178924,1100.3875692012,1076.54426312405,784.411628489781,0.102361004151779,3.40438661393918,0.710277726343045,0.796954386563879,"no"
"A2BDX3","A2BDX3",3203.16937881965,3383.37217228533,2848.90101395323,2942.74376822448,2757.28672778238,2552.25295231582,2651.20059549219,-0.20638565065247,4.96848665395382,0.203474659187229,0.31731347941221,"no"
