ProtGroup	Counter	KO	Accession	Identical	Similar	OtherLoci	Missing	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_L00761	Total_L00763	Total_L00765	Unique_L00761	Unique_L00763	Unique_L00765	Corrected_L00761	Corrected_L00763	Corrected_L00765	PSMs_Used_L00761	TotInt_126C_L00761	TotInt_127N_L00761	TotInt_127C_L00761	TotInt_128N_L00761	TotInt_128C_L00761	TotInt_129N_L00761	TotInt_129C_L00761	TotInt_130N_L00761	TotInt_130C_L00761	TotInt_131N_L00761	TotInt_131C_L00761	PSMs_Used_L00763	TotInt_126C_L00763	TotInt_127N_L00763	TotInt_127C_L00763	TotInt_128N_L00763	TotInt_128C_L00763	TotInt_129N_L00763	TotInt_129C_L00763	TotInt_130N_L00763	TotInt_130C_L00763	TotInt_131N_L00763	TotInt_131C_L00763	PSMs_Used_L00765	TotInt_126C_L00765	TotInt_127N_L00765	TotInt_127C_L00765	TotInt_128N_L00765	TotInt_128C_L00765	TotInt_129N_L00765	TotInt_129C_L00765	TotInt_130N_L00765	TotInt_130C_L00765	TotInt_131N_L00765	TotInt_131C_L00765	Average_all	Average_L00761	Average_L00763	Average_L00765	SLNorm_Met6-1_1	SLNorm_Met6-2_1	SLNorm_Met6-3_1	SLNorm_Pfk2-1_1	SLNorm_Pfk2-2_1	SLNorm_Pfk2-3_1	SLNorm_Ura2-1_1	SLNorm_Ura2-2_1	SLNorm_Ura2-3_1	SLNorm_unused-1_1	SLNorm_unused-2_1	AvePool_1	SLNorm_Met6-1_2	SLNorm_Met6-2_2	SLNorm_Met6-3_2	SLNorm_Pfk2-1_2	SLNorm_Pfk2-2_2	SLNorm_Pfk2-3_2	SLNorm_Ura2-1_2	SLNorm_Ura2-2_2	SLNorm_Ura2-3_2	SLNorm_unused-1_2	SLNorm_unused-2_2	AvePool_2	SLNorm_Met6-1_3	SLNorm_Met6-2_3	SLNorm_Met6-3_3	SLNorm_Pfk2-1_3	SLNorm_Pfk2-2_3	SLNorm_Pfk2-3_3	SLNorm_Ura2-1_3	SLNorm_Ura2-2_3	SLNorm_Ura2-3_3	SLNorm_unused-1_3	SLNorm_unused-2_3	AvePool_3	GeoMeanPools	IRS_Fac_AvePool_1	IRS_Fac_AvePool_2	IRS_Fac_AvePool_3	IRSNorm_Met6-1_1	IRSNorm_Met6-2_1	IRSNorm_Met6-3_1	IRSNorm_Pfk2-1_1	IRSNorm_Pfk2-2_1	IRSNorm_Pfk2-3_1	IRSNorm_Ura2-1_1	IRSNorm_Ura2-2_1	IRSNorm_Ura2-3_1	IRSNorm_unused-1_1	IRSNorm_unused-2_1	IRSNorm_Met6-1_2	IRSNorm_Met6-2_2	IRSNorm_Met6-3_2	IRSNorm_Pfk2-1_2	IRSNorm_Pfk2-2_2	IRSNorm_Pfk2-3_2	IRSNorm_Ura2-1_2	IRSNorm_Ura2-2_2	IRSNorm_Ura2-3_2	IRSNorm_unused-1_2	IRSNorm_unused-2_2	IRSNorm_Met6-1_3	IRSNorm_Met6-2_3	IRSNorm_Met6-3_3	IRSNorm_Pfk2-1_3	IRSNorm_Pfk2-2_3	IRSNorm_Pfk2-3_3	IRSNorm_Ura2-1_3	IRSNorm_Ura2-2_3	IRSNorm_Ura2-3_3	IRSNorm_unused-1_3	IRSNorm_unused-2_3
22	1	 	sp|P00549|KPYK1_YEAST	 	 	 	 	 	63.2	500	54544	Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2	265	265	1	33	33	31	33	33	31	33	33	31	33	3152813.0	3090734.0	3269891.0	4121428.0	3653527.0	3844549.0	3509917.0	3331146.0	3394977.0	78003.0	58365.0	33	3142057.0	3177065.0	3387266.0	4278358.0	3801156.0	4027339.0	3591534.0	3428851.0	3541727.0	90990.0	63665.0	31	3152806.0	3145186.0	3351117.0	4297180.0	3839250.0	4029496.0	3551999.0	3415392.0	3484154.0	89452.35547	61719.96198	2922821.524771212	2864122.727272727	2957273.4545454546	2947068.3924954548	3159933.7732522856	3284345.0845423075	3270423.805906808	3705771.867882315	3654802.5750513826	3651039.5598539845	3498696.7420572406	3439803.52904714	3417006.2687049513	77412.75027204586	57923.35127659138	3453535.911810935	3289003.194910518	3407207.2060576174	3417522.8874229887	3836092.258162769	3793140.601921448	3804624.4858803283	3596548.2397743673	3564730.343541909	3576508.8214546195	90933.14140042439	63625.21647717352	3587264.2265696186	3344789.9553901134	3393812.7710676324	3408660.8613072964	3885667.18849982	3860853.0759047763	3844480.03014428	3591492.0722464332	3576704.157153594	3551813.987822113	90196.47536502364	62233.38671194933	3606474.8999484503	3548434.1671725526	1.027478577835855	0.9891755786737243	0.9839065196941403	3246764.259396746	3374594.216587711	3360290.4010136514	3807601.208595841	3755231.3520846157	3751364.9345812183	3594835.952807913	3534324.4380601104	3510900.741425165	79539.94255588388	59515.002593158766	3253401.6385853398	3370326.159713327	3380530.179797332	3794568.779313951	3752082.0498964475	3763441.6274568946	3557617.686306774	3526144.200388852	3537795.183094053	89948.84276538438	62936.510327049094	3290960.644115805	3339194.5120746805	3353803.6448664926	3823133.280126573	3798718.512963885	3782608.966492882	3533692.465313084	3519142.5392405563	3494652.939359021	88744.90016507867	61231.83492853362
13	1	 	sp|P00330|ADH1_YEAST	 	 	"sp|P00330|ADH1_YEAST, sp|P07246|ADH3_YEAST"	 	 	49.7	348	36849	Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	180	171	0.95	18	22	17	17	21	16	17.739	21.808	16.762	17	2389182.0	2414860.0	2543729.0	3744460.0	3307631.0	3516298.0	2837058.0	2772764.0	2757644.0	78312.0	48573.0	21	2897719.0	3006989.0	3197109.0	4872570.0	4299131.0	4570863.0	3602272.0	3476724.0	3499279.0	96921.0	67918.0	16	2636914.0	2692163.0	2774300.0	4327445.0	3814169.0	4020730.0	3173764.0	3044822.0	3060690.0	67275.62451	48857.00189	2716943.503830303	2400955.5454545454	3053408.6363636362	2696466.3296727273	2394578.0774966488	2566132.6956178816	2544143.4828792517	3366822.0161581407	3308785.810566004	3339310.567308531	2827988.6907945205	2863207.8547187257	2775537.753232672	77719.4120649777	48205.447469508654	2887389.660974709	3033238.1140612382	3224811.1352257472	3225667.302504741	4368878.914377003	4290065.535084369	4318091.248689125	3607301.231392628	3614500.4664595807	3533643.9573775446	96860.43518705937	67875.55882661857	3690688.65613022	2797483.7209861837	2904978.329165827	2821939.0213844613	3913033.907478301	3835630.9476253553	3836116.52464775	3209051.6481511197	3188631.7896138187	3120126.5944006103	67835.26467134622	49263.42458201898	3291888.0537170474	3273552.333613387	1.133741101126032	0.8869760195501804	0.9944300292706015	2714831.5863133078	2909330.10796533	2884400.033702141	3817104.499894498	3751306.4682612917	3785913.6395821692	3206207.0122733456	3246136.425961512	3146741.2285668827	88113.69181341564	54652.497094353836	2690409.468757933	2860330.144523632	2861089.5443688226	3875090.8293708274	3805185.251918548	3830043.387816748	3199589.6875390974	3205975.236402589	3134257.451822282	85912.88325411614	60203.99299277824	2781901.818544322	2888797.6849028366	2806220.9036352024	3891238.423150503	3814266.5955183073	3814749.4678909	3191177.3244017903	3170871.2038788404	3102747.580597781	67457.42423270582	48989.028749067205
50	1	 	sp|P02994|EF1A_YEAST	 	 	 	 	 	38.4	458	50032	Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1	140	140	1	19	17	19	19	17	19	19	17	19	19	3055228.0	3090713.0	3172844.0	2942004.0	2594336.0	2730788.0	3058401.0	2948922.0	2981108.0	69941.0	44377.0	17	3504792.0	3658348.0	3804004.0	3466478.0	3067577.0	3198421.0	3670163.0	3547285.0	3598815.0	81148.0	56206.0	19	2930560.0	2977937.0	3127455.0	2849381.0	2559499.0	2664867.0	2991507.0	2904675.0	2938326.0	68812.8811	47831.39481	2557659.0992699997	2426242.0	2877567.0	2369168.29781	3062128.373038945	3284322.7690513027	3173360.992775778	2645295.673828887	2595241.7741400306	2593338.0007835883	3048624.116924875	3045111.893169723	3000451.7626147335	69411.75553218671	44041.198656751396	2938652.8173697623	3668702.4091214207	3923353.682680862	3837983.416079103	3108138.5472864965	3061108.4807412243	3021546.2002959885	3675287.0158920987	3687857.6749736457	3634157.45885643	81097.2915524963	56170.87752008191	3513126.098436363	3109010.7198692374	3213342.747308055	3181158.238879696	2576514.425561602	2573901.0449762843	2542508.5331988162	3024768.214903695	3041865.5157827022	2995386.3656949145	69385.3091103231	48229.285869411935	2917606.200686111	3111402.745455243	1.0587854159104444	0.8856507447427178	1.0664231330203364	3242136.8630192117	3477393.049014126	3359908.3385700826	2800800.4802210173	2747804.141221012	2745788.453756012	3227838.753592915	3224120.062303546	3176834.5673992666	73492.15445022039	46630.17883698303	3249189.0208777892	3474721.1109553897	3399112.870760658	2752725.2191678346	2711073.0057067145	2676034.642566671	3255020.682768078	3266153.8963455567	3218594.2599485	71823.87666008566	49747.779508512525	3315520.9524767636	3426783.040052431	3392460.7357395412	2747654.585979496	2744867.616467927	2711389.9157048217	3225682.7963979286	3243915.7535675108	3194349.31271077	73994.09872701525	51432.82614019172
23	1	 	sp|P00560|PGK_YEAST	 	 	 	 	 	65.9	416	44738	Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2	217	217	1	25	23	21	25	23	21	25	23	21	25	2439523.0	2409714.0	2614016.0	5370584.0	4682872.0	4976566.0	2947633.0	2840151.0	2850637.0	73737.0	44111.0	23	1980645.0	2055069.0	2226493.0	4487286.0	3939590.0	4203041.0	2530606.0	2409472.0	2401604.0	66687.0	40446.0	21	1788160.0	1871492.0	2015607.0	4035794.0	3589880.0	3804793.0	2345772.0	2205586.0	2225189.0	64726.06592	39608.68774	2472033.053141212	2840867.6363636362	2394630.8181818184	2180600.7048781817	2445032.774961831	2560664.337679264	2614441.9356551305	4828947.418540097	4684506.955672154	4726078.231341128	2938210.2123441696	2932792.928567755	2869134.1646209313	73179.0311502102	43777.21148225344	3399978.7732647182	2073274.8428763524	2203935.3635338345	2246381.236722204	4023422.790884302	3931282.6897721947	3970610.048907961	2534139.048902907	2504955.143957731	2425189.149711624	66645.32806429389	40420.72576196906	2879243.368363234	1897046.5060743939	2019433.3341655806	2050218.0892750137	3649312.4154316187	3610079.8958465946	3630094.361015061	2371853.579152939	2309757.888745938	2268400.712410502	65264.4972796285	39938.17724766308	2645132.975790849	2958471.3202445	0.8701440560476572	1.0275169347446669	1.1184584470124677	2127530.7359747463	2228146.8529648227	2274941.1101920432	4201879.893209344	4076195.882992031	4112368.8814177075	2556666.1516898037	2551952.3344118334	2496560.0393481636	63676.29898268176	38092.48036162408	2130325.0114355404	2264580.9091136586	2308194.7626247327	4134135.053271271	4039459.5390094947	4079869.06652028	2603870.7877454804	2573883.8311923333	2491922.9212877126	68479.20320767598	41532.98023509324	2121767.6890943944	2258652.270776045	2293083.7401674003	4081604.2968269656	4037724.3538995134	4060109.701529621	2652819.670680359	2583368.221221578	2537111.9380046255	72995.6282724227	44669.19170092992
89	1	 	sp|P06169|PDC1_YEAST	 	 	"sp|P06169|PDC1_YEAST, sp|P26263|PDC6_YEAST"	 	 	42.1	563	61495	Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7	167	150	0.898	22	21	22	20	19	20	21.905	20.9	21.905	20	2834149.0	2846660.0	2984934.0	2944819.0	2614466.0	2763517.0	3313677.0	3188278.0	3175558.0	78203.0	58114.0	19	2298146.0	2517627.0	2645128.0	2691616.0	2411869.0	2569228.0	2925524.0	2851620.0	2925432.0	70829.0	51426.0	20	2423133.0	2495072.0	2619164.0	2639981.0	2370043.0	2466827.0	2929506.0	2820109.0	2880034.0	68841.5907	57251.21365	2258508.5395257575	2436579.5454545454	2178040.4545454546	2160905.6185772726	2840550.055943436	3024981.6963747786	2985420.374153338	2647826.774167917	2615378.802232552	2624419.6370833106	3303084.068406749	3292275.3658901043	3196163.5064497218	77611.23686941275	57674.25059689593	2947788.92007799	2405624.575356471	2700000.426986927	2668755.710405795	2413376.1829998894	2406783.155023283	2427147.9899281743	2929608.4048258117	2964624.69271805	2954161.4456917853	70784.73977635629	51393.864486847175	2652231.398215132	2570684.945085207	2692307.297035298	2664139.096350579	2387167.2934256755	2383378.9950059475	2353561.6214337284	2962077.8537939787	2953305.384543345	2935962.373248505	69414.25753449296	57727.46457561706	2655842.762213585	2748548.371627957	0.9324101711988383	1.0363154487491715	1.0349062868982137	2648557.763961089	2820523.70139016	2783636.3221648135	2468860.6158067756	2438605.7967394665	2447035.563110443	3079829.1817072923	3069751.0375433103	2980135.3622282646	72365.50665636273	53776.05787281643	2492985.911332576	2798052.154115912	2765672.771631095	2501019.0220860927	2494186.5653399	2515290.9583630655	3035998.4487064057	3072286.3688069806	3061443.1442695837	73355.319365928	53260.255738641135	2660418.0113032702	2786285.747963766	2757134.2999845403	2470494.4398440244	2466573.9059928013	2435715.718624119	3065472.9931733566	3056394.3095942545	3038445.9181714775	71837.25152281846	59742.516016000016
338	1	 	sp|P32324|EF2_YEAST	 	 	 	 	 	44.4	842	93288	Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1	310	310	1	39	36	37	39	36	37	39	36	37	39	2683868.0	2626990.0	2748546.0	2823103.0	2516072.0	2631075.0	2781517.0	2671577.0	2747583.0	74574.0	50392.0	36	2388044.0	2463642.0	2552776.0	2596583.0	2327465.0	2452687.0	2570444.0	2453405.0	2552706.0	65977.0	43033.0	37	2570126.0	2543509.0	2690039.0	2754122.0	2458685.0	2580236.0	2692379.0	2581015.0	2655726.0	77700.43708	53333.61862	2135725.1532030306	2214117.909090909	2042432.9090909092	2150624.641427273	2689929.639389036	2791551.0340397446	2748993.85637929	2538386.1315869563	2516950.4494190635	2498643.900739156	2772625.240390821	2758720.2700575627	2765411.4695879105	74009.69756019062	50010.68307256048	2675690.221287727	2499726.8813350275	2642104.828055517	2575578.772515683	2328167.0079916306	2322557.135526956	2317051.7844165503	2574032.6678345753	2550629.1315946467	2577775.05933691	65935.77173508957	43006.10917556284	2487513.6965119443	2726628.796344263	2744573.2390788533	2736231.1297069658	2490377.7566975323	2472519.7746775895	2461763.4004499214	2722314.345804371	2702918.7513983115	2707298.4588576937	78346.79726559234	53777.28057255814	2640513.9614461665	2599939.6073632753	0.9716893183965088	1.0451960972150536	0.9846339179889549	2613775.8978324994	2712520.321535149	2671167.966581383	2466522.6900288803	2445693.8666337966	2427905.588824825	2694130.330004313	2680619.018858866	2687120.7859697645	71914.43257699338	48594.846547320114	2612704.780474928	2761517.6547166766	2691984.8811033303	2433391.070417701	2427527.653611749	2421773.482117354	2690368.8985247505	2665907.613785746	2694280.4315172415	68915.81128437826	44949.817466702785	2684731.19464596	2702399.901601848	2694185.977766714	2452110.4078496355	2434526.833045963	2423935.742146819	2680483.0403068964	2661385.4801951335	2665697.8887105105	77142.91395350652	52950.934468949235
789	1	 	sp|P00358|G3P2_YEAST_family	 	sp|P00358|G3P2_YEAST&sp|P00359|G3P3_YEAST	"sp|P00358|G3P2_YEAST&sp|P00359|G3P3_YEAST, sp|P00360|G3P1_YEAST"	 	 	'(53.6)	'(332)	'(35846)	'(Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3)	274	160	0.584	32	32	33	19	20	20	27.093	27.471	28.093	19	1585280.0	1737985.0	1855884.0	3310154.0	2873951.0	3082477.0	2058890.0	2011958.0	2025642.0	63740.0	39372.0	20	2039399.0	2260698.0	2436093.0	4264175.0	3737682.0	4016196.0	2660897.0	2599369.0	2620794.0	72648.0	48705.0	20	1508403.0	1744671.0	1859748.0	3078100.0	2648598.0	2891619.0	2128596.0	2046232.0	2077735.0	54911.75604	38313.02484	2044815.6297236364	1876848.4545454544	2432423.272727273	1825175.1618981818	1588860.4278342493	1846856.6016222239	1856186.403339301	2976316.842501705	2874954.397592107	2927325.277773812	2052308.284000514	2077585.380134832	2038785.9511719916	63257.678580826425	39074.07155764509	2248797.7295523044	2134776.621397166	2424459.8446427896	2457853.497006415	3823375.3942403197	3729800.4478824236	3794097.70116065	2664611.95176515	2702377.4285794827	2646531.7231439175	72602.60310427553	48674.564808304975	2930876.06775759	1600254.250683459	1882587.141463601	1891682.74921303	2783330.5034746733	2663501.3961412357	2758849.1216484075	2152262.8973193597	2142877.450348514	2118083.2523440635	55368.54591350705	38631.73622409027	2221492.0847373717	2446419.1801275946	1.0878787131355887	0.834705775191425	1.101250459965881	1728487.437584384	2009155.9831187516	2019305.6758045356	3237871.7365045333	3127601.690376003	3184574.8561138543	2232662.4949559877	2260160.909770394	2217951.8369199033	68816.68197045414	42507.85068309885	1781910.3746238525	2023710.6340430414	2051584.5085256943	3191393.5222971863	3113285.9741590223	3166955.2627993035	2224166.9847824653	2255690.046382247	2209075.3135355413	60601.812105069665	40628.94035042146	1762280.7296275154	2073199.9554626436	2083216.4976803716	3065143.997188551	2933182.137620302	3038183.8641917757	2370180.505640445	2359844.7778468155	2332540.1558899293	60974.63665489164	42543.21728606
188	1	 	sp|P14126|RL3_YEAST	 	 	 	 	 	54.8	387	43757	60S ribosomal protein L3 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL3 PE=1 SV=4	182	182	1	24	24	23	24	24	23	24	24	23	24	1576824.0	1555799.0	1662738.0	1457439.0	1293591.0	1347931.0	1604085.0	1525141.0	1573275.0	42328.0	28321.0	24	1483589.0	1545310.0	1634528.0	1410480.0	1289148.0	1322950.0	1569411.0	1480032.0	1552222.0	43718.0	31595.0	23	1459550.0	1541716.0	1622524.0	1404258.0	1268526.0	1320148.0	1556269.0	1501205.0	1526373.0	41676.3952	31496.54144	1221339.301110303	1242497.4545454546	1214816.6363636365	1206703.8124218183	1580385.329569106	1653258.0280884209	1663008.931547221	1310452.698762306	1294042.638213237	1280084.9735439818	1598957.1729140286	1574889.0604297991	1583483.639917673	42007.70346672765	28106.694620137827	1504284.7192206413	1552972.7694100076	1657250.124751271	1649128.4859629339	1264674.7673507973	1286429.6073841301	1249789.9887730782	1571602.0980262277	1538683.0689968793	1567465.7238844023	43690.68112697828	31575.256649592357	1481999.6260599694	1548426.4427908473	1663588.5604728325	1650385.2462721413	1269781.399612858	1275663.8689757588	1259532.8603961663	1573572.4519581464	1572108.31560177	1556014.1635628054	42023.085174324806	31758.549108627583	1485452.5899603693	1490546.8958189238	0.9908675377565259	1.0057673899565536	1.0034294637829475	1565952.5202166757	1638159.711568183	1647821.5652693058	1298485.0389690006	1282224.8426783092	1268394.6458546529	1584354.7569034593	1560506.4455477637	1569022.5353629661	41624.069700882705	27850.011292730564	1561929.3689631042	1666808.1324762586	1658639.653029943	1271968.639902323	1293848.9485815705	1256998.0150021291	1580666.1401820825	1547557.2542753308	1576505.9099575751	43942.662322505	31757.363467668816	1553736.7151969566	1669293.7771907	1656045.1827021425	1274136.0689350907	1280038.7120136258	1263852.3827243273	1578968.9616919807	1577499.804132997	1561350.4577824974	42167.20182297787	31867.46390259458
214	1	 	sp|P16521|EF3A_YEAST	 	 	"sp|P16521|EF3A_YEAST, sp|P53978|EF3B_YEAST"	 	 	30.8	1044	115943	Elongation factor 3A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YEF3 PE=1 SV=4	302	193	0.639	38	36	38	25	22	24	37.5	35.391	37.44	25	1331707.0	1308440.0	1371758.0	1180962.0	1080170.0	1119890.0	1318547.0	1253470.0	1299279.0	32718.0	22620.0	22	1429652.0	1465980.0	1556167.0	1333932.0	1209727.0	1278630.0	1484874.0	1429724.0	1496310.0	48767.0	35195.0	24	1453168.0	1501337.0	1599640.0	1413311.0	1294400.0	1353879.0	1542703.0	1482317.0	1531324.0	48658.28717	37612.33475	1131723.2915733333	1029051.0	1160814.3636363635	1205304.5110836364	1334714.7215443738	1390403.859542276	1371981.5183879558	1061859.082977559	1080547.1254196977	1063522.065315042	1314331.9608837897	1294356.51561196	1307709.739358087	32470.422463248808	22448.834162194755	1246602.9543378602	1496513.2700043991	1572173.568981543	1570067.523233301	1196039.7465839882	1207176.0803662431	1207920.9141274584	1486947.0735865857	1486381.4513054409	1511004.6354873658	48736.526065221406	35173.00705119174	1414913.8070751473	1541655.8233822	1620017.6028623953	1627108.2926026168	1277967.4530380084	1301683.4593868966	1291715.087626767	1559855.6177326597	1552328.2177036908	1561061.308738853	49063.05683034856	37925.217361516596	1481488.0958971207	1377374.6979743494	1.1049024817255861	0.9734689781716123	0.9297237701665602	1474729.6082300532	1536260.675009094	1515905.7845484903	1173250.73602476	1193899.2004976722	1175088.1693365108	1452208.6453917553	1430137.7263373372	1444891.7363934699	35876.65036232183	24803.772577655105	1456809.2437714406	1530462.1977048793	1528412.0275023556	1164307.589959749	1175148.4654273388	1175873.5379877768	1447496.8483196027	1446946.2325755456	1470916.1385204555	47443.496228345226	34239.83123334654	1433314.0644141315	1506168.8734694193	1512761.2562677795	1188156.7185886535	1210206.053424636	1200938.2212493864	1450234.8458338971	1443236.4430994121	1451355.805421831	45615.09017220787	35259.976069735494
150	1	 	sp|P0CX35|RS4A_YEAST (+1)	sp|P0CX35|RS4A_YEAST&sp|P0CX36|RS4B_YEAST	 	 	 	 	46.4	261	29410	40S ribosomal protein S4-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS4A PE=1 SV=1	96	96	1	12	11	11	12	11	11	12	11	11	12	1461347.0	1497413.0	1591047.0	1304563.0	1177670.0	1236511.0	1515575.0	1465790.0	1516435.0	44080.0	27765.0	11	1176717.0	1177470.0	1242737.0	1004521.0	903874.0	928192.0	1172716.0	1122567.0	1163815.0	35743.0	22096.0	11	1251491.0	1307872.0	1364911.0	1102963.0	995604.0	1024631.0	1286818.0	1239122.0	1262394.0	36785.70044	26402.65277	1020837.5258548484	1167108.7272727273	904586.1818181818	990817.6684736364	1464647.519450379	1591214.5872403611	1591306.2499993453	1172994.6186807477	1178081.1661062753	1174273.1272756858	1510730.1155108232	1513602.1101572872	1526274.8174976127	43746.446059661575	27554.901879457884	1413680.4791020574	1231749.1288367843	1262764.30256122	1253837.7973703225	900680.875995399	901968.0245749311	876862.3676323829	1174353.2611845627	1167052.3588102283	1175244.3409786266	35720.664612324086	22082.192464927764	1104945.828660495	1327698.096889288	1411259.2058217754	1388348.6326701823	997339.4503440226	1001206.1641682878	977584.6452674884	1301125.5480150785	1297646.8904947003	1286908.864344891	37091.70659719912	26622.28632916488	1221013.0553350793	1240140.3887201555	0.8772423521812147	1.1223540164168537	1.0156651342108927	1284850.835079032	1395880.8273357952	1395961.2377900938	1029000.5583874062	1033462.6932154573	1030122.1202745135	1325276.4400417127	1327795.8753808287	1338912.9109765599	38376.23524094615	24172.32693885821	1382458.5819679254	1417268.5867674125	1407249.8878138426	1010882.7986832862	1012327.4350612494	984150.0001569967	1318040.0993827244	1309845.9022794229	1319040.20636854	40091.23139672131	24784.03740430166	1348496.6657686054	1433366.7706873312	1410097.30033247	1012962.9066874796	1016890.193102757	992898.6399381115	1321507.854349956	1317974.7031926473	1307068.464422041	37672.7531591553	27039.32801751206
