ProtGroup	Counter	Accession	Identical	Similar	OtherLoci	Filter	Missing	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_m06677	Total_m06679	Total_m06681	Unique_m06677	Unique_m06679	Unique_m06681	Corrected_m06677	Corrected_m06679	Corrected_m06681	PSMs_Used_m06677	TotInt_126C_m06677	TotInt_127N_m06677	TotInt_127C_m06677	TotInt_128N_m06677	TotInt_128C_m06677	TotInt_129N_m06677	TotInt_129C_m06677	TotInt_130N_m06677	TotInt_130C_m06677	TotInt_131N_m06677	TotInt_131C_m06677	PSMs_Used_m06679	TotInt_126C_m06679	TotInt_127N_m06679	TotInt_127C_m06679	TotInt_128N_m06679	TotInt_128C_m06679	TotInt_129N_m06679	TotInt_129C_m06679	TotInt_130N_m06679	TotInt_130C_m06679	TotInt_131N_m06679	TotInt_131C_m06679	PSMs_Used_m06681	TotInt_126C_m06681	TotInt_127N_m06681	TotInt_127C_m06681	TotInt_128N_m06681	TotInt_128C_m06681	TotInt_129N_m06681	TotInt_129C_m06681	TotInt_130N_m06681	TotInt_130C_m06681	TotInt_131N_m06681	TotInt_131C_m06681	Average_all	Average_m06677	Average_m06679	Average_m06681	SLNorm_Met6-1_1	SLNorm_Met6-2_1	SLNorm_Met6-3_1	SLNorm_Pfk2-1_1	SLNorm_Pfk2-2_1	SLNorm_Pfk2-3_1	SLNorm_Ura2-1_1	SLNorm_Ura2-2_1	SLNorm_Ura2-3_1	SLNorm_unused-1_1	SLNorm_unused-2_1	AvePool_1	SLNorm_Met6-1_2	SLNorm_Met6-2_2	SLNorm_Met6-3_2	SLNorm_Pfk2-1_2	SLNorm_Pfk2-2_2	SLNorm_Pfk2-3_2	SLNorm_Ura2-1_2	SLNorm_Ura2-2_2	SLNorm_Ura2-3_2	SLNorm_unused-1_2	SLNorm_unused-2_2	AvePool_2	SLNorm_Met6-1_3	SLNorm_Met6-2_3	SLNorm_Met6-3_3	SLNorm_Pfk2-1_3	SLNorm_Pfk2-2_3	SLNorm_Pfk2-3_3	SLNorm_Ura2-1_3	SLNorm_Ura2-2_3	SLNorm_Ura2-3_3	SLNorm_unused-1_3	SLNorm_unused-2_3	AvePool_3	GeoMeanPools	IRS_Fac_AvePool_1	IRS_Fac_AvePool_2	IRS_Fac_AvePool_3	IRSNorm_Met6-1_1	IRSNorm_Met6-2_1	IRSNorm_Met6-3_1	IRSNorm_Pfk2-1_1	IRSNorm_Pfk2-2_1	IRSNorm_Pfk2-3_1	IRSNorm_Ura2-1_1	IRSNorm_Ura2-2_1	IRSNorm_Ura2-3_1	IRSNorm_unused-1_1	IRSNorm_unused-2_1	IRSNorm_Met6-1_2	IRSNorm_Met6-2_2	IRSNorm_Met6-3_2	IRSNorm_Pfk2-1_2	IRSNorm_Pfk2-2_2	IRSNorm_Pfk2-3_2	IRSNorm_Ura2-1_2	IRSNorm_Ura2-2_2	IRSNorm_Ura2-3_2	IRSNorm_unused-1_2	IRSNorm_unused-2_2	IRSNorm_Met6-1_3	IRSNorm_Met6-2_3	IRSNorm_Met6-3_3	IRSNorm_Pfk2-1_3	IRSNorm_Pfk2-2_3	IRSNorm_Pfk2-3_3	IRSNorm_Ura2-1_3	IRSNorm_Ura2-2_3	IRSNorm_Ura2-3_3	IRSNorm_unused-1_3	IRSNorm_unused-2_3
789	1	sp|P00358|G3P2_YEAST_family	 	sp|P00358|G3P2_YEAST&sp|P00359|G3P3_YEAST	"sp|P00358|G3P2_YEAST&sp|P00359|G3P3_YEAST, sp|P00360|G3P1_YEAST"	 	 	'(53.6)	'(332)	'(35846)	'(Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3)	274	160	0.584	29	32	31	17	18	19	24.471	26.716	26.471	17	2553203.0	2419128.0	2752799.0	3630489.0	3476745.0	3580125.0	3053195.0	2826754.0	2858698.0	93654.0	69445.0	18	2382077.0	2346795.0	2500211.0	3631980.0	3349839.0	3604892.0	2852857.0	2606282.0	2787728.0	94347.0	59455.0	19	2610491.0	2471452.0	2785542.0	3812378.0	3687988.0	3703547.0	3028394.0	2741715.0	2938706.0	90482.0	61578.0	2468574.878787879	2483112.272727273	2383314.8181818184	2539297.5454545454	2767836.7058971617	2697648.076585789	2874623.2362796976	3284900.801250677	3394460.4316383516	3345366.4510376803	3071768.810456152	2993885.305602278	2932859.121466095	94820.36800940006	70309.86884076266	3040372.1044682097	2463327.8084788946	2482277.870093469	2467200.2204864235	3087878.2665972207	3069866.043290271	3159556.498579226	2720006.3626660304	2595066.1678850492	2695038.135142377	90123.92078843682	56793.726461641716	2748913.041468774	2948674.396188172	2840105.113490955	2989067.9973006374	3511156.2594439927	3636963.444808756	3489720.019880988	3120624.636785267	2977931.6662867456	3095500.2599534187	93720.7807858345	63782.169262727584	3178860.421570992	2983914.6728989007	0.9814307493854658	1.0854889288547893	0.9386743289043974	2716440.0524452506	2647554.7733818516	2821243.636982857	3223902.6550283693	3331427.8451821394	3283245.5030109067	3014728.3655848824	2938291.099051378	2878398.1254224684	93059.62483247115	69004.2672655835	2673915.064243971	2694485.1463277075	2678118.5246061077	3351857.672042601	3332305.6030588467	3429663.5992989526	2952536.793088561	2816915.594884845	2925434.0585385077	97828.51824083416	61648.96130251937	2767844.9599995115	2665933.7614240698	2805761.396415787	3295832.245512064	3413924.2208056846	3275710.597726027	2929250.2366969394	2795308.0083748647	2905666.629135163	87973.29100853934	59870.684928757495
50	1	sp|P02994|EF1A_YEAST	 	 	 	 	 	38.4	458	50032	Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1	140	140	1	15	14	15	15	14	15	15	14	15	15	2302528.0	2261511.0	2333369.0	1868335.0	1691259.0	1780982.0	2306754.0	2125710.0	2284335.0	55364.0	40561.0	14	2512552.0	2381576.0	2566704.0	2139105.0	1895054.0	1974824.0	2459182.0	2365834.0	2431366.0	77405.0	55766.0	15	2127346.0	2026181.0	2184394.0	1757227.0	1657807.0	1613712.0	2203438.0	2016900.0	2149057.0	71077.0	45402.0	1750382.3333333333	1731882.5454545456	1896306.1818181819	1622958.2727272727	2496088.8400789048	2521884.248922589	2436631.496238818	1690487.187402216	1651231.757046389	1664198.1586402683	2320786.9103005114	2251392.209216585	2343595.8402161584	56053.50390236855	41066.147167545176	2152921.8497847156	2598253.2100554532	2519066.812715096	2532815.300278011	1818648.7369064388	1736669.11299361	1730861.2859276289	2344663.8534471844	2355652.9079478574	2350524.904326599	73940.26401082125	53269.850304598636	2220795.1249553203	2402939.0187644097	2328415.4492817246	2343997.038599859	1618385.8421997998	1634870.682211566	1520543.163816252	2270544.3573157443	2190669.1168607012	2263719.6446853527	73621.18361568886	47027.15334805219	2063787.1459706011	2144867.9248311706	0.9962590723140506	0.9658108038553637	1.039287374678573	2486751.1522304644	2512450.0623150347	2427516.234014082	1684163.1970801204	1645054.6184505352	1657972.513673705	2312105.014294579	2242969.913769196	2334828.617652818	55843.81179772571	40912.52168065083	2509421.0214234362	2432941.943353736	2446220.38117867	1756470.5985221495	1677293.79205114	1671684.5299238916	2264501.68106844	2275115.0286293454	2270162.3473297246	71412.30582156908	51448.5969439393	2497344.1843243693	2419892.7794450335	2436086.5285007968	1681967.9731568012	1699100.459254626	1580281.3128080438	2359748.0842059273	2276734.755251586	2352655.246533352	76513.56664067844	48874.726741703824
23	1	sp|P00560|PGK_YEAST	 	 	 	 	 	65.9	416	44738	Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2	217	217	1	25	24	26	25	24	26	25	24	26	25	1549711.0	1485648.0	1610243.0	3143472.0	3059263.0	3133727.0	1910566.0	1778947.0	1770710.0	51510.0	34018.0	24	1435538.0	1411975.0	1517557.0	3096711.0	2922030.0	3023987.0	1730848.0	1674247.0	1646781.0	50296.0	25687.0	26	1401297.0	1383855.0	1483860.0	2955016.0	2818330.0	2941328.0	1703860.0	1624490.0	1594718.0	48537.0	32436.0	1698521.1818181819	1775255.9090909092	1685059.7272727273	1635247.9090909092	1679986.6635487254	1656694.2591229253	1681503.7871841455	2844243.2111787335	2986859.0315007973	2928239.9839421688	1922188.739703153	1884126.911201065	1816646.240691122	52151.50614137353	34441.660569156375	2155609.8697858704	1484503.0935306353	1493489.7575737233	1497520.3952789246	2632797.150543931	2677812.4782938734	2650414.430576311	1650246.6028994	1667042.0723402302	1592026.7670403637	48044.693736687106	24537.22061424928	1927316.9720085992	1582831.9597176535	1590277.1576506547	1592278.4285695653	2721535.725250001	2779337.4559266088	2771508.288307535	1755751.5612674393	1764450.43068523	1679803.9625441933	50274.3698967977	33597.03858855162	2026419.4411020977	2034311.9528853244	0.943729188383891	1.05551498919517	1.0038948065850248	1585452.4504865995	1563470.72856233	1586884.2043437327	2684195.337252098	2818786.049615342	2763465.543439001	1814025.619240711	1778105.5607200284	1714422.082308079	49216.89856379595	32503.600375523405	1566915.2667281851	1576400.8253285256	1580655.2238423808	2778956.855909452	2826471.209093049	2797552.1590524777	1741860.0252287264	1759587.894974092	1680408.115811031	50711.89439036455	25899.404151528834	1588996.7840573494	1596470.979596287	1598480.045078351	2732135.580514085	2790162.4377519577	2782302.777039286	1762589.8740099312	1771322.6238416128	1686346.4740790613	50470.17884372972	33727.89255568365
13	1	sp|P00330|ADH1_YEAST	 	 	"sp|P00330|ADH1_YEAST, sp|P07246|ADH3_YEAST"	 	 	49.7	348	36849	Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	180	171	0.95	23	21	23	22	20	22	22.88	20.87	22.917	22	1841913.0	1828196.0	1959163.0	3023543.0	2941416.0	2996678.0	2255237.0	2071906.0	2130901.0	69213.0	39949.0	20	1566031.0	1548471.0	1681350.0	2655863.0	2532138.0	2530834.0	1938031.0	1782888.0	1861187.0	55602.0	44348.0	22	1305584.0	1306535.0	1421657.0	2335819.0	2175954.0	2249408.0	1611529.0	1487712.0	1528704.0	38746.0	24804.0	1661857.8787878787	1923465.0	1654249.3636363635	1407859.2727272727	1996752.4754080104	2038680.6415459758	2045865.1298040433	2735730.3171324516	2871801.131514665	2800177.6602109405	2268956.5117153344	2194407.057702649	2186181.413633487	70074.9795100541	40446.52531240014	2348728.0376297287	1619447.1090733053	1637865.8109385371	1659150.8039580854	2257991.9594159923	2320506.884995052	2218183.793446588	1847781.5926434482	1775215.5484050612	1799303.9283715037	53113.19113144736	42362.932993371236	1903938.6034719523	1474719.5500283043	1501423.751889539	1525530.558088312	2151262.4148964784	2145848.94408154	2119536.792831427	1660608.5932986015	1615888.1120447556	1610267.7945299158	40132.90347613828	25691.853038304183	1756120.7235209858	1987680.9702332527	0.8462797473304595	1.0439837537873284	1.1318589568534865	1689811.1803697606	1725294.1382150275	1731374.2251227635	2315193.161547129	2430347.1359615587	2369733.642763712	1920171.943438254	1857082.2503327748	1850121.0543482944	59303.03595395571	34229.075221773026	1690676.4719903863	1709905.2975035408	1732126.484415426	2357306.9218127127	2422571.488486475	2315747.843272585	1929053.963267035	1853296.1920055468	1878444.0693455688	55449.30865303226	44226.21380786077	1669174.5315464796	1699399.9216087414	1726685.426125954	2434925.63284284	2428798.3474132875	2399016.7033467633	1879574.7101528905	1828957.4328909267	1822596.0261713949	45424.78626400353	29079.55397956805
22	1	sp|P00549|KPYK1_YEAST	 	 	 	 	 	63.2	500	54544	Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2	265	265	1	28	30	32	28	30	32	28	30	32	28	1660741.0	1634490.0	1748211.0	2299627.0	2114395.0	2173596.0	1855727.0	1779925.0	1858008.0	51568.0	36061.0	30	1536693.0	1469179.0	1551242.0	2056995.0	1889024.0	1936576.0	1719058.0	1627766.0	1685602.0	47822.0	34995.0	32	1666023.0	1648647.0	1742951.0	2281506.0	2124018.0	2230165.0	1897300.0	1825589.0	1890328.0	58175.0	47864.0	1520602.0303030305	1564759.0	1414086.5454545456	1582960.5454545456	1800350.343779307	1822672.799743836	1825577.5167455983	2080724.2701679282	2064353.3432431694	2031067.3891301835	1867016.1320588314	1885162.7352695474	1906208.9491639116	52210.22847405068	36510.10411500817	1920348.1643669237	1589108.4125302657	1553996.202866485	1530760.645572634	1748839.5186645165	1731143.0885366017	1697338.3074423764	1639005.634629405	1620761.097929378	1629556.9979109373	45681.43279536843	33428.58392944499	1637834.4340091776	1881852.6336848536	1894566.7466094922	1870299.946998876	2101240.7670118297	2094631.496120867	2101404.801434377	1955082.833796622	1982875.4238586992	1991186.1939905612	60257.359720341316	49577.28002843862	1985904.5381673528	1841631.6926832634	0.959009270743563	1.1244309280854599	0.9273515706765904	1726552.6702707163	1747960.1124864644	1750745.763020041	1995433.8649521773	1979733.994260668	1947812.4556807699	1790485.7792722075	1807888.5399837892	1828072.0542225365	50070.09313425415	35013.52832210554	1786842.6471298186	1747361.3926304425	1721234.6133779346	1966449.2430444711	1946550.8296919405	1908539.6883124348	1842948.6268836402	1822433.9055495395	1832324.287529151	51365.61587436969	37588.13365236852	1745138.9956295271	1756929.4482199503	1734425.5934857514	1948588.9256581038	1942459.8079163425	1948741.0432374983	1813049.1367241368	1838822.6387713745	1846529.644506689	55879.757181482826	45975.568504245704
89	1	sp|P06169|PDC1_YEAST	 	 	"sp|P06169|PDC1_YEAST, sp|P26263|PDC6_YEAST"	 	 	42.1	563	61495	Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7	167	150	0.898	17	18	17	15	17	15	16.875	17.944	16.875	15	992063.0	981144.0	1040188.0	1045258.0	921109.0	993908.0	1131537.0	1074339.0	1106271.0	27248.0	16421.0	17	1112866.0	1105196.0	1165928.0	1262482.0	1220760.0	1241607.0	1365168.0	1312537.0	1342308.0	42175.0	28170.0	15	885684.0	888025.0	917025.0	1009955.0	1055489.0	1066272.0	1207339.0	1128384.0	1144741.0	26872.0	23384.0	905510.6969696969	848135.0909090909	1018108.8181818182	850288.1818181818	1075460.2693019144	1094105.4894382139	1086221.186108868	945759.3293117485	899308.9955478387	928734.7449091746	1138420.593665692	1137859.0939768532	1134970.1833364065	27587.346910117376	16625.50732571335	1048982.2095107455	1150825.000581708	1169000.0928567778	1150534.0223970276	1073351.375770294	1118731.2796247914	1088223.2992088133	1301595.4343691464	1306888.6493469775	1297677.2658977828	40287.198949116806	26909.078705314056	1184091.8244503688	1000422.4239476501	1020486.8811564236	984027.5537847274	930156.9309252014	1040885.9544547729	1004710.0104409478	1244108.8670601274	1225601.6563834327	1205818.5007548684	27833.87658624859	24221.02448990909	1072913.1976564613	1100456.0378237139	1.049070258624287	0.929367144591614	1.0256710796618158	1128233.3828567048	1147793.5287671993	1139522.34063441	992167.9841974083	943438.320542519	974307.9990352291	1194283.186620082	1193694.1339962943	1190663.4637635783	28941.06515775476	17441.325269946086	1069538.9447152645	1086430.2783256352	1069268.5191506296	997537.5032431186	1039712.0949102148	1011358.9802637604	1209660.032253135	1214579.3723427914	1206018.615208875	37441.59905093496	25008.41363994873	1026104.3476882771	1046683.881176428	1009288.6035073568	954035.0635969724	1067606.6207104465	1030502.0011560012	1276046.4848943993	1257064.1741381052	1236773.1635454379	28548.402249391325	24842.80433908034
33	1	sp|P00925|ENO2_YEAST	 	 	"sp|P00924|ENO1_YEAST, sp|P00925|ENO2_YEAST"	 	 	55.4	437	46914	Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2	221	111	0.502	26	29	29	12	15	13	20.842	24.545	22.043	12	864043.0	846350.0	922992.0	1314872.0	1233564.0	1303294.0	987966.0	942278.0	1015073.0	32653.0	18080.0	15	847008.0	820506.0	922121.0	1402928.0	1347725.0	1348551.0	1005251.0	954458.0	953792.0	35391.0	22154.0	13	857976.0	859039.0	926463.0	1340659.0	1241771.0	1339103.0	1031092.0	978703.0	988093.0	32090.0	21885.0	871452.2424242425	861924.0909090909	878171.3636363636	874261.2727272728	936678.3334006348	943792.3291443787	963838.7147409857	1189708.6277749583	1204369.0831204278	1217833.4620826654	993976.1936565214	997990.0118624766	1041406.3000022925	33059.660843220154	18305.168531081992	1054399.2284205935	875898.7893355637	867874.6486501428	909946.0543590767	1192757.3612191437	1235084.794580689	1181955.8188471426	958438.8968940224	950350.6007666201	922079.1314625093	33806.858518273686	21162.36171947205	1010487.3440127677	969124.9131845094	987177.1964772759	994155.1425119925	1234731.508688258	1224590.680290612	1261788.9141902858	1062494.212441378	1063024.659962774	1040812.5679663612	33238.65360422437	22668.36815607511	1093099.977301494	1052120.011607081	0.9978383739744132	1.0412005829078324	0.9625103224358497	934653.5851375527	941752.203082951	961755.2558907334	1187136.9226422948	1201765.6875659425	1215200.961576197	991827.5888474998	995832.730679559	1039155.1690409975	32988.198219944374	18265.599602382452	911986.3300244536	903631.5900654589	947436.3622133527	1241899.6597689805	1285971.0080580136	1230653.087554949	997927.1381275959	989505.5994850135	960069.3291659125	35199.72079550918	22034.263358020697	932792.732669837	950168.241682661	956884.586770476	1188441.8225492383	1178681.1705384534	1214484.8546432727	1022661.6470031749	1023172.2082180291	1001792.840388587	31992.547197935513	21818.5383429984
338	1	sp|P32324|EF2_YEAST	 	 	 	 	 	44.4	842	93288	Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1	310	310	1	34	33	34	34	33	34	34	33	34	34	1017816.0	978207.0	1036473.0	1044464.0	926945.0	984599.0	1035505.0	977188.0	1006722.0	25782.0	12664.0	33	883845.0	869550.0	938210.0	911607.0	842182.0	913592.0	924665.0	880291.0	912165.0	20694.0	12448.0	34	809151.0	772279.0	824639.0	817989.0	766127.0	791016.0	847229.0	808188.0	831787.0	21406.0	10552.0	741090.2121212123	822396.8181818182	737204.4545454546	663669.3636363636	1103378.182091054	1090830.3455016662	1082341.7799761358	945040.9105984035	905006.8741897988	920036.1613980655	1041804.3924712957	1034964.0591331536	1032838.656087698	26103.08932900199	12821.717603850795	1017360.151271919	913992.2709824361	919750.0088161838	925822.628115214	775040.4580911493	771794.0844530998	800730.1024968273	881605.5916348366	876502.7698436693	881836.1979870872	19767.712982881403	11890.813337726282	860786.012491167	913974.7412843237	887475.6770277882	884891.3583877035	753358.4543574462	755527.3751110355	745346.1158306292	873031.6102854995	877818.6782772653	876166.8825414567	22172.222469679866	10929.706227228904	840843.4325670163	903015.115885194	0.8876061390415487	1.0490587704507575	1.0739396668989534	979365.2481085234	968227.7113200926	960693.2084479753	838824.1138925584	803289.6574056679	816629.7449971441	924711.9744379731	918640.4525739476	916753.9317828636	23169.262336372107	11380.635258235061	958831.60799833	964871.813370779	971242.3479060354	813062.9900146929	809657.3532775369	840012.9367882306	924856.0779829543	919502.9180288829	925097.9975993044	20737.49267644504	12474.1620197346	981553.7292089437	953095.3329681461	950319.9306686528	809061.5275281462	811390.8175597861	800456.7593595746	937583.2767422661	942724.2989467658	940950.3699844665	23811.629213497483	11737.845064973626
189	1	sp|P14540|ALF_YEAST	 	 	 	 	 	29.8	359	39620	Fructose-bisphosphate aldolase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=FBA1 PE=1 SV=3	78	78	1	9	10	10	9	10	10	9	10	10	9	566555.0	587079.0	646765.0	1013132.0	952904.0	969816.0	666106.0	607245.0	632840.0	26682.0	15512.0	10	791771.0	797752.0	849261.0	1349938.0	1274724.0	1276961.0	871219.0	848801.0	871889.0	39655.0	24995.0	10	651318.0	641897.0	716410.0	1100043.0	1013101.0	1062058.0	732485.0	732647.0	689887.0	23763.0	14512.0	698779.4848484847	607694.1818181818	817906.0	670738.2727272727	614182.1566516906	654670.8298006176	675387.3775064719	916691.4205146197	930351.4992183528	906222.522978823	670158.1901115734	643148.2479198597	649257.3074975404	27014.29793950939	15705.18662910088	740007.7280221721	818777.6978859806	843807.0370112453	838048.0393256892	1147705.7173920888	1168185.0746161675	1119209.7921330868	830648.4423423734	845148.2834040973	842899.3447750828	37879.997020206916	23876.19532265974	939381.0476539792	735694.8215398896	737645.3000238336	768754.5920851848	1013126.9420575682	999084.4067006713	1000739.3087963411	754793.0477591939	795769.3274136755	726695.8272921769	24613.590701065245	15031.453446696916	836922.6192965037	834810.2732236128	1.1281102096795943	0.8886811963137615	0.99747605570194	692865.1615218042	738540.8470774888	761911.3960537774	1034128.9506082328	1049539.0248589409	1022318.8804140111	756012.2963652646	725542.1048159366	732433.7972970591	30475.10531288697	17717.181381212155	727632.3440723409	749875.4471091239	744757.5341563558	1019944.4899481455	1038144.1096257764	994620.696998908	738181.651456983	751067.3875580751	749068.7980868063	33663.2410682792	21218.325822762294	733837.9687899516	735783.5243748478	766814.2983158838	1010569.866088951	996562.7733090984	998213.49852406	752887.9921500868	793760.8499571787	724861.6875024588	24551.46736916051	14993.51489547857
37	1	sp|P00950|PMG1_YEAST	 	 	 	 	 	54.3	247	27608	Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPM1 PE=1 SV=3	99	99	1	10	11	11	10	11	11	10	11	11	10	510748.0	507504.0	543896.0	949524.0	905185.0	870475.0	568352.0	578295.0	541381.0	16821.0	13610.0	11	608830.0	588505.0	645699.0	1103875.0	1072061.0	1019311.0	678016.0	665842.0	637765.0	17597.0	13955.0	11	544966.0	555866.0	577799.0	1058058.0	1004168.0	949883.0	641205.0	618721.0	594203.0	21038.0	12568.0	595021.8787878788	545981.0	641041.4545454546	598043.1818181818	553683.7697055673	565934.1669641269	567965.9429255759	859138.3002143095	883761.8708914693	813395.5829662442	571809.5133001249	612486.5845430021	555425.6532303992	17030.488930383308	13779.49909889524	664844.5983045354	629596.721531758	622479.9941790217	637173.708606139	938505.0637778862	982460.2496525389	893388.954266394	646442.4378752147	662976.6262272912	616559.7921529928	16809.33823136001	13330.35830076882	736620.3942521374	615565.1526831862	638781.5215572721	620015.9609053861	974459.2402838313	990274.9977621182	895040.8140208867	660733.0883068376	672027.857927101	625906.6204530501	21791.05000080001	13017.868448048983	743645.0282110744	714128.7549863501	1.0741288367349264	0.9694664450763378	0.9603086525089407	594727.7034728499	607886.2084297272	610068.5975797045	922825.2230036182	949274.1103313362	873691.6513368592	614197.0873550276	657889.502570923	596598.7107971053	18292.939263819662	14800.95733788631	610372.8954551104	603473.4670878756	617718.5301784999	909849.167866889	952462.2456594582	866110.613563108	626704.2521933658	642733.592997276	597734.0298755676	16296.089379242363	12923.3350734402	591132.5423046509	613427.4222142748	595406.6919510874	935781.6399618521	950969.648714234	859515.438052903	634507.7017000101	645354.1666944441	601063.5432836936	20926.13386302321	12501.171707884574
