ProtGroup	Counter	KO	Accession	Identical	Similar	OtherLoci	Missing	Filter	Coverage	SeqLength	MW	Description	CountsTot	UniqueTot	UniqFrac	Total_L00760	Total_L00762	Total_L00764	Unique_L00760	Unique_L00762	Unique_L00764	Corrected_L00760	Corrected_L00762	Corrected_L00764	PSMs_Used_L00760	TotInt_126C_L00760	TotInt_127N_L00760	TotInt_127C_L00760	TotInt_128N_L00760	TotInt_128C_L00760	TotInt_129N_L00760	TotInt_129C_L00760	TotInt_130N_L00760	TotInt_130C_L00760	TotInt_131N_L00760	TotInt_131C_L00760	PSMs_Used_L00762	TotInt_126C_L00762	TotInt_127N_L00762	TotInt_127C_L00762	TotInt_128N_L00762	TotInt_128C_L00762	TotInt_129N_L00762	TotInt_129C_L00762	TotInt_130N_L00762	TotInt_130C_L00762	TotInt_131N_L00762	TotInt_131C_L00762	PSMs_Used_L00764	TotInt_126C_L00764	TotInt_127N_L00764	TotInt_127C_L00764	TotInt_128N_L00764	TotInt_128C_L00764	TotInt_129N_L00764	TotInt_129C_L00764	TotInt_130N_L00764	TotInt_130C_L00764	TotInt_131N_L00764	TotInt_131C_L00764	Average_all	Average_L00760	Average_L00762	Average_L00764	SLNorm_Met6-1_1	SLNorm_Met6-2_1	SLNorm_Met6-3_1	SLNorm_Pfk2-1_1	SLNorm_Pfk2-2_1	SLNorm_Pfk2-3_1	SLNorm_Ura2-1_1	SLNorm_Ura2-2_1	SLNorm_Ura2-3_1	SLNorm_unused-1_1	SLNorm_unused-2_1	AvePool_1	SLNorm_Met6-1_2	SLNorm_Met6-2_2	SLNorm_Met6-3_2	SLNorm_Pfk2-1_2	SLNorm_Pfk2-2_2	SLNorm_Pfk2-3_2	SLNorm_Ura2-1_2	SLNorm_Ura2-2_2	SLNorm_Ura2-3_2	SLNorm_unused-1_2	SLNorm_unused-2_2	AvePool_2	SLNorm_Met6-1_3	SLNorm_Met6-2_3	SLNorm_Met6-3_3	SLNorm_Pfk2-1_3	SLNorm_Pfk2-2_3	SLNorm_Pfk2-3_3	SLNorm_Ura2-1_3	SLNorm_Ura2-2_3	SLNorm_Ura2-3_3	SLNorm_unused-1_3	SLNorm_unused-2_3	AvePool_3	GeoMeanPools	IRS_Fac_AvePool_1	IRS_Fac_AvePool_2	IRS_Fac_AvePool_3	IRSNorm_Met6-1_1	IRSNorm_Met6-2_1	IRSNorm_Met6-3_1	IRSNorm_Pfk2-1_1	IRSNorm_Pfk2-2_1	IRSNorm_Pfk2-3_1	IRSNorm_Ura2-1_1	IRSNorm_Ura2-2_1	IRSNorm_Ura2-3_1	IRSNorm_unused-1_1	IRSNorm_unused-2_1	IRSNorm_Met6-1_2	IRSNorm_Met6-2_2	IRSNorm_Met6-3_2	IRSNorm_Pfk2-1_2	IRSNorm_Pfk2-2_2	IRSNorm_Pfk2-3_2	IRSNorm_Ura2-1_2	IRSNorm_Ura2-2_2	IRSNorm_Ura2-3_2	IRSNorm_unused-1_2	IRSNorm_unused-2_2	IRSNorm_Met6-1_3	IRSNorm_Met6-2_3	IRSNorm_Met6-3_3	IRSNorm_Pfk2-1_3	IRSNorm_Pfk2-2_3	IRSNorm_Pfk2-3_3	IRSNorm_Ura2-1_3	IRSNorm_Ura2-2_3	IRSNorm_Ura2-3_3	IRSNorm_unused-1_3	IRSNorm_unused-2_3
13	1	 	sp|P00330|ADH1_YEAST	 	 	"sp|P00330|ADH1_YEAST, sp|P07246|ADH3_YEAST"	 	 	49.7	348	36849	Alcohol dehydrogenase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ADH1 PE=1 SV=5	180	171	0.95	19	18	19	18	17	18	18.818	17.773	18.818	18	4061317.0	4105199.0	4349294.0	7200861.0	6375273.0	6625843.0	4816030.0	4507570.0	4515084.0	69259.0	60257.0	17	4291580.0	4155676.0	4407566.0	7207815.0	6465493.0	6797910.0	4956027.0	4674343.0	4665683.0	84628.0	66755.0	18	4271408.0	4180313.0	4501001.0	7264671.0	6396337.0	6641058.0	4889087.0	4677218.0	4668507.0	79641.0	52662.0	4305495.93939394	4244180.636363637	4343043.2727272725	4329263.909090909	4211285.8838861585	4341583.127363459	4372888.873711331	6174714.701025649	6045815.209692038	6018490.258091184	4770002.153684831	4684240.235340393	4593463.765032986	67893.51051514145	59068.99122295843	5023609.356425337	4567442.638349171	4498514.170637182	4535931.369616524	6383830.1532859085	6342816.879763898	6371236.763461767	5016803.80014954	4955752.690668696	4860609.340402294	85181.94496384506	67191.95462567327	5281437.534037219	4571565.821327522	4548487.937996903	4658136.475280581	6485451.744849706	6330899.684860255	6272858.945824103	4996299.228560435	4995027.745248346	4894871.964974257	80739.79958785984	53388.57279411202	5305955.50543579	5202082.123658235	1.0355268004676015	0.9849746570195022	0.9804232467326309	4360899.397195009	4495825.684842806	4528243.624194668	6394082.558153353	6260603.680310757	6232307.960606593	4939465.068428822	4850656.303523642	4756654.835668471	70305.54971625788	61167.52348795898	4498815.246164224	4430922.452320728	4467777.445052037	6287910.915703543	6247513.880682955	6275506.745880797	4941424.602386429	4881290.806764874	4787577.017968538	83902.05702501739	66182.37246189248	4482069.405197856	4459443.311895134	4566945.286818281	6358487.656213355	6206961.223769281	6150056.7339606965	4898487.911312961	4897241.319515956	4799046.264240594	79159.17645247148	52343.397877224714
23	1	 	sp|P00560|PGK_YEAST	 	 	 	 	 	65.9	416	44738	Phosphoglycerate kinase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PGK1 PE=1 SV=2	217	217	1	25	24	24	25	24	24	25	24	24	25	3294430.0	3248725.0	3486829.0	7039743.0	6321100.0	6579015.0	3961915.0	3666496.0	3674046.0	76642.0	48135.0	24	3174365.0	3147161.0	3405120.0	6931060.0	6151484.0	6590966.0	3821265.0	3583907.0	3545980.0	65129.0	54118.0	24	3195956.0	3087880.0	3275998.0	6817784.0	6075547.0	6474588.0	3665791.0	3503342.0	3510765.0	59450.0	45236.0	3684241.4545454546	3763370.5454545454	3679141.3636363638	3610212.4545454546	3416080.68379077	3435791.9422283433	3505745.010255459	6036556.5442163665	5994441.7316692695	5975954.710266418	3924050.1165308855	3810201.0808294956	3737825.735260824	75130.94952138307	47185.984906601785	4426294.172783093	3378413.0904429755	3406797.9206696297	3504290.264810242	6138713.302468755	6034765.879538892	6177281.677151734	3868125.9753787527	3799669.1210628687	3694126.5638663676	65555.311404621	54472.23729207079	4444687.088376691	3420540.303353513	3359840.503326397	3390367.115391939	6086498.499217433	6013391.506365856	6115618.513846045	3746177.7107594498	3741388.682565968	3680993.7682674243	60270.22620884052	45860.11695177645	4394979.622566003	4421939.303475594	0.999016136493079	0.994882027812355	1.0061341992966626	3412719.72666929	3432411.5919190114	3502295.8356752982	6030617.396525047	5988544.019205116	5970075.186507974	3920189.3868219014	3806452.3630320365	3734148.224924671	75057.03092190865	47139.56033801405	3361122.4662077124	3389362.0236627157	3486355.4046975086	6107295.538518794	6003880.115608463	6145666.521332823	3848329.014218457	3780222.5201790156	3675220.126854859	65219.801144099736	54193.44989661118	3441522.57927655	3380450.4345788	3411164.302966604	6123834.294030471	6050278.848314762	6153132.936632336	3769157.511437963	3764339.1063911053	3703573.7176517495	60639.93578806048	46141.4320489269
789	1	 	sp|P00358|G3P2_YEAST_family	 	sp|P00358|G3P2_YEAST&sp|P00359|G3P3_YEAST	"sp|P00358|G3P2_YEAST&sp|P00359|G3P3_YEAST, sp|P00360|G3P1_YEAST"	 	 	'(53.6)	'(332)	'(35846)	'(Glyceraldehyde-3-phosphate dehydrogenase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TDH2 PE=1 SV=3)	274	160	0.584	27	32	26	15	17	15	22.471	26.339	21.848	15	4098953.0	4118763.0	4182535.0	6976123.0	6273015.0	6639873.0	4512643.0	4208839.0	4234647.0	74411.0	50820.0	17	3488449.0	3426658.0	3655161.0	6137536.0	5491320.0	5767618.0	3968808.0	3899641.0	3778230.0	71804.0	63137.0	15	3064875.0	3000886.0	3212152.0	5284253.0	4601448.0	5007131.0	3346519.0	3311470.0	3200303.0	78659.0	44554.0	3614279.8181818184	4124602.0	3613487.4545454546	3104750.0	4250311.637238074	4355928.164848745	4205225.207909197	5982002.602780856	5948841.641389521	6031234.209060295	4469514.689237978	4373800.736953574	4308158.508724454	72943.93524223841	49818.04825913582	4880557.4886825215	3712686.4008841794	3709353.080203381	3761613.4258452184	5435903.582941263	5387127.816577188	5405611.406918277	4017478.326180204	4134411.269860163	3936079.6754061854	72274.00359436512	63550.27247698499	4388918.331646229	3280248.0579334004	3265184.634333309	3324292.1730844914	4717456.281100313	4554373.181572648	4729521.483815257	3419904.4316582703	3536479.2762615597	3355478.193375957	79744.25102373736	45168.70746019648	3798104.190348357	4333092.254221665	0.8878273156846592	0.9872802195880404	1.1408566055751723	3773542.7717123483	3867312.009912865	3733513.808187485	5310985.313245572	5281544.10590798	5354694.4780954905	3968157.228959308	3883179.7676290763	3824900.804344856	64761.61822159214	44229.824058557366	3665461.845126464	3662170.923552768	3713766.529073788	5366760.083025665	5318604.733699166	5336853.216829892	3966376.8840613845	4081822.4663748103	3886013.6062510414	71354.69413915162	62741.92696595754	3742292.6648184503	3725107.458501709	3792540.6845252863	5381941.159805379	5195886.728451569	5395705.826020326	3901620.5612931433	4034615.742802705	3828119.461776406	90976.75553707547	51531.018271257715
22	1	 	sp|P00549|KPYK1_YEAST	 	 	 	 	 	63.2	500	54544	Pyruvate kinase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CDC19 PE=1 SV=2	265	265	1	27	25	26	27	25	26	27	25	26	27	3509291.0	3420263.0	3572885.0	4376711.0	3927145.0	4074166.0	3828177.0	3659164.0	3699585.0	67039.0	45368.0	25	2965330.0	2960411.0	3092693.0	3950605.0	3579712.0	3742072.0	3348835.0	3171182.0	3210685.0	75971.0	50935.0	26	3435309.0	3364004.0	3553624.0	4666315.0	4209030.0	4318465.0	3808197.0	3618551.0	3607878.0	90560.0	61398.0	3001865.3333333335	3107254.0	2740766.4545454546	3157575.5454545454	3638875.67770473	3617207.383112372	3592267.863140572	3753015.334394133	3724200.1984332334	3700710.744405856	3791590.279688195	3802581.7095484026	3763808.080460864	65717.2793633256	44473.53824125293	3709361.918987595	3155941.3266852642	3204641.274827535	3182764.1821570992	3498978.722778273	3511790.624209691	3507199.52131183	3389902.4670514883	3362096.8185475767	3344823.3624293674	76468.27930292898	51268.40249956809	3350904.2555553475	3676712.9738247506	3660283.7197533622	3677685.3801704287	4165799.21634006	4165969.788734921	4079037.0762427137	3891706.515614503	3864425.9563262067	3782815.5500778714	91809.4480314987	62245.10258654988	3884937.353009424	3641512.0328607936	0.9817084750400091	1.0867251807698348	0.9373412495416268	3572315.0924196905	3551043.143978709	3526559.805858963	3684366.9607298346	3656078.897547589	3633019.10145485	3722236.3114492195	3733026.6912957933	3694962.291012499	64515.21010754863	43660.049406453945	3429640.908741036	3482564.3686894267	3458789.981202429	3802428.2850210243	3816351.3009200874	3811362.0337934764	3683892.3712986377	3653675.272901802	3634903.773179221	83100.00464863371	55714.66397412378	3446334.733090802	3430934.9155504904	3447246.2096699225	3904775.4427837213	3904935.3273254577	3823449.7099719695	3647857.0481953886	3622285.8546639024	3545789.0544954883	86056.78273757204	58344.90223632341
50	1	 	sp|P02994|EF1A_YEAST	 	 	 	 	 	38.4	458	50032	Elongation factor 1-alpha OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TEF1 PE=1 SV=1	140	140	1	14	13	14	14	13	14	14	13	14	14	3104398.0	3032464.0	3136676.0	2583767.0	2332943.0	2359893.0	3023225.0	2879848.0	2892964.0	51565.0	34420.0	13	4057063.0	3982992.0	4174605.0	3570625.0	3167983.0	3286916.0	4033199.0	3809144.0	3838344.0	67662.0	46746.0	14	3431054.0	3361032.0	3461895.0	2904553.0	2639562.0	2718555.0	3369990.0	3222008.0	3200455.0	65606.0	44476.0	2663231.151515152	2312014.8181818184	3094116.272727273	2583562.3636363638	3219031.529763479	3207078.2772618583	3153692.433953042	2215571.7321754913	2212382.4772279668	2143575.2447858453	2994331.381049085	2992721.1054436336	2943184.513852874	50548.36006458754	33741.385696171885	2786840.966168142	4317850.892368033	4311583.952534926	4296185.64424401	3162437.3740275656	3107873.761089073	3080611.5493748365	4082658.9665389895	4038466.074728474	3998705.162368961	68104.89152696135	47051.98278678335	3821819.2641416523	3672158.969016559	3657049.965211124	3582754.0080731967	2593006.389671115	2612558.130375104	2567830.6154629043	3443890.1245276225	3440938.471418722	3355637.563499784	66511.1599774128	45089.63130133542	3213980.470806237	3246946.914356665	1.1650994634333802	0.849581492463878	1.0102572009537316	3750491.908102562	3736565.1800266406	3674365.3626326	2581361.4363558297	2577645.6371277166	2497478.367529065	3488693.8854020215	3486817.75415813	3429102.6978754173	58893.86718868825	39312.070370108595	3668366.2053745207	3663041.929277929	3649959.811538713	2686748.2640498863	2640392.0283353804	2617230.5578193334	3468551.4980132286	3431006.0350325564	3397225.899768436	57860.655387566345	39974.4937593801	3709825.04149581	3694561.061602132	3619503.035901791	2619603.377284282	2639355.664121667	2594169.3701008516	3479214.797597474	3476232.86878949	3390057.012316492	67193.37831096692	45552.12471052289
89	1	 	sp|P06169|PDC1_YEAST	 	 	"sp|P06169|PDC1_YEAST, sp|P26263|PDC6_YEAST"	 	 	42.1	563	61495	Pyruvate decarboxylase isozyme 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=PDC1 PE=1 SV=7	167	150	0.898	14	17	19	12	15	17	13.846	16.875	18.889	12	2543566.0	2462821.0	2618113.0	2470830.0	2263134.0	2371953.0	2821293.0	2677154.0	2681569.0	60708.0	47411.0	15	2800941.0	2846576.0	2908040.0	2932426.0	2643835.0	2748392.0	3241525.0	3041642.0	3060991.0	63916.0	47728.0	17	2648318.0	2639964.0	2771346.0	2706062.0	2442471.0	2555187.0	2991840.0	2824667.0	2849468.0	65329.0	53108.0	2239464.3636363638	2092595.6363636365	2394182.909090909	2231614.5454545454	2637490.151724867	2604634.2940540523	2632316.2351910435	2118728.6249151602	2146181.0276628435	2154529.7742717657	2794329.28909827	2782082.692670879	2728119.7946562544	59511.09944343993	46476.25907150509	2510934.653805015	2980985.406517032	3081415.0270126224	2992733.3725915025	2597196.1712501757	2593670.933571591	2575888.1995796077	3281276.5019802637	3224758.115857333	3188875.3362556687	64334.371535533406	48040.4106115517	2946311.007179533	2834419.0142469327	2872474.958393321	2868097.094007075	2415805.8251463124	2417483.4572006306	2413520.199824102	3057447.716511539	3016598.763642706	2987632.026318321	66230.33823376521	53840.726215291885	2764831.0061434377	2734812.3345579254	1.089161094022758	0.9282157680888982	0.9891426739938857	2872651.659126906	2836866.3372411057	2867016.430534545	2307636.7870499296	2337536.8760601496	2346630.0060504423	3043474.7455741074	3030136.229211195	2971361.940172948	64817.17417631418	50620.133176405616	2766997.6587720034	2860218.016099194	2777902.3061253	2410758.438974527	2407486.257775004	2390980.0436839145	3045732.5885976637	2993271.331411422	2959964.3695822987	59716.178089371686	44591.866635107515	2803644.8029713244	2841287.561325645	2836957.228840251	2389576.633735229	2391236.051191415	2387315.8241922697	3024252.0099067236	2983846.567436196	2955194.331422275	65511.253860066005	53256.15989836652
338	1	 	sp|P32324|EF2_YEAST	 	 	 	 	 	44.4	842	93288	Elongation factor 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=EFT1 PE=1 SV=1	310	310	1	34	32	31	34	32	31	34	32	31	34	2498743.0	2445120.0	2558356.0	2599648.0	2364567.0	2466720.0	2575158.0	2413101.0	2478528.0	52237.0	39388.0	32	2107969.0	2089310.0	2196920.0	2185622.0	1971848.0	2020027.0	2152930.0	2092010.0	2132691.0	45628.0	32640.0	31	2279291.0	2214007.0	2327377.0	2307236.0	2115434.0	2229112.0	2326387.0	2224688.0	2292652.0	47274.0	30078.0	1876142.3333333333	2044687.8181818181	1729781.3636363635	1853957.8181818181	2591012.0099857636	2585914.0412873873	2572235.054101338	2229189.6376130474	2242372.229853666	2240610.0309709553	2550546.654833696	2507680.367945509	2521554.097026695	51207.11111594801	38611.43811158681	2449012.680402006	2243469.1863878253	2261675.5112414854	2260902.8077033754	1935765.5027612464	1934434.1999486636	1893239.2876024223	2179331.832828181	2217955.376061581	2221792.1352119097	45926.66475410411	32853.64989861397	2127618.4266385213	2439459.9702157765	2409002.4201873667	2408628.5907132863	2059758.4862384074	2093792.188238779	2105523.720835424	2377402.0739318044	2375852.116476301	2403817.323234636	47926.23505124856	30492.983413111946	2297026.321119087	2287442.834873367	0.9340265377874167	1.0751189246313102	0.9958278726901785	2420073.9770526183	2415312.338999525	2402535.8019577013	2082122.2792913008	2094435.1702808691	2092789.2297595579	2382278.2614795943	2342240.0119496193	2355198.4430895196	47828.80070572446	36064.10785835854	2411996.179112759	2431570.1435109144	2430739.395313963	2081178.1256670589	2079746.8168188361	2035457.386956864	2343040.896525016	2384565.7987915603	2388690.771163331	49376.62642233511	35321.5807492114	2429282.232652823	2398951.7554006767	2398579.4855907545	2051164.9116063355	2085056.620669137	2096739.2078182495	2367483.2498127273	2365939.758977053	2393788.2913325466	47726.280697134316	30365.762804256166
33	1	 	sp|P00925|ENO2_YEAST	 	 	"sp|P00924|ENO1_YEAST, sp|P00925|ENO2_YEAST"	 	 	55.4	437	46914	Enolase 2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=ENO2 PE=1 SV=2	221	111	0.502	24	22	24	12	11	11	20	18.562	18.944	12	1594510.0	1606637.0	1658999.0	2422414.0	2183546.0	2293838.0	1776415.0	1705225.0	1722759.0	34286.0	31219.0	11	1383281.0	1384172.0	1433715.0	1833930.0	1639163.0	1685590.0	1586086.0	1498349.0	1484562.0	31228.0	19767.0	11	1585842.0	1591447.0	1632776.0	2524054.0	2254927.0	2360877.0	1816998.0	1723484.0	1745354.0	41265.0	27202.0	1464058.0909090908	1548168.0	1270894.8181818181	1573111.4545454544	1653389.1480806149	1699149.8075971093	1667999.0519376765	2077212.0636366052	2070705.9317871109	2083575.1249523067	1759437.4154309754	1772059.7917077986	1752665.2975635587	33610.02759962084	30603.495643486054	1837354.848077084	1472198.2626953893	1498364.4915049223	1475470.326159553	1624278.3191599154	1608061.5577318592	1579793.3447373558	1605536.5057865875	1588554.1750596287	1546585.1245372456	31432.407445892066	19896.387792460242	1555426.900819162	1697281.3379629576	1731611.3610299896	1689778.2163484802	2253320.2698917654	2231858.114055416	2229983.2962519485	1856842.7409239912	1840592.0781309744	1829982.1256679448	41834.3294282221	27577.30350433776	1929027.7266959408	1766554.4920444933	0.9614661500435324	1.1357361063474867	0.9157745467299564	1589677.6987288247	1633675.0238576017	1603724.62674278	1997169.0856486678	1990913.660107659	2003286.9537143663	1691639.518056963	1703775.505580241	1685128.355963337	32314.903839064315	29424.225134216555	1672028.722645196	1701746.6534711323	1675744.9232637067	1844751.5338273225	1826333.5723454559	1794228.3421856773	1823465.7796808078	1804178.3335042663	1756512.567476874	35698.9200457252	22597.04600178846	1554327.0479462415	1585765.6092596815	1547455.8801506837	2063533.3487975546	2043878.852764674	2042161.9423405023	1700449.3194184778	1685567.3760651415	1675851.0516574841	38310.81406988177	25254.59261671935
37	1	 	sp|P00950|PMG1_YEAST	 	 	 	 	 	54.3	247	27608	Phosphoglycerate mutase 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=GPM1 PE=1 SV=3	99	99	1	11	11	10	11	11	10	11	11	10	11	1409891.0	1400867.0	1503583.0	2751576.0	2499780.0	2539002.0	1582900.0	1507316.0	1516312.0	24928.0	24077.0	11	1095036.0	1068210.0	1145800.0	2114294.0	1919663.0	1970200.0	1240222.0	1189267.0	1178713.0	35733.0	25753.0	10	1331166.0	1325483.0	1420474.0	2648308.0	2364607.0	2478897.0	1570441.0	1446937.0	1464595.0	39497.0	31161.0	1389839.0606060605	1523657.4545454544	1180262.8181818181	1465596.9090909092	1461952.8754140935	1481531.2317089296	1511739.9217899514	2359467.3995497692	2370597.768108748	2306266.357695773	1567771.8803802552	1566393.9227948405	1542634.473353031	24436.52709570519	23602.30515417578	1796483.981199488	1165424.882427293	1156336.014216783	1179170.1277545507	1872591.5953879887	1883239.3569768316	1846539.6969616208	1255431.102903407	1260864.4969300472	1227958.139773664	35966.89558294035	25921.570031832278	1427506.1570369096	1424708.8988252287	1442222.9717056954	1470064.4926734536	2364246.603803453	2340416.039855053	2341459.933376057	1604879.0207250717	1545254.1362464624	1535609.7796450711	40041.93649403825	31590.925464990403	1785429.0974283938	1660534.803400883	0.9243248594357999	1.1632417802299877	0.9300480236334225	1351319.3860688955	1369416.1474991038	1397338.790711984	2180914.372432193	2191202.4487859393	2131739.3268986596	1449130.5229598791	1447856.8425084322	1425895.3927428597	22587.289472836816	21816.197393994385	1355670.9149590486	1345098.363721579	1371659.9586032256	2178276.7810628368	2190662.702208907	2147972.1243589777	1460369.911097456	1466690.2620376959	1428412.212558221	41838.195647245615	30153.05327018488	1325047.6956053537	1341336.6244736034	1367230.5760246154	2198862.881249433	2176699.3123471537	2177670.183453247	1492614.5613960954	1437160.5554273936	1428190.8406310538	37240.923898735295	29381.077793465083
36	1	 	sp|P00942|TPIS_YEAST	 	 	 	 	 	35.5	248	26795	Triosephosphate isomerase OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TPI1 PE=1 SV=2	72	72	1	9	8	9	9	8	9	9	8	9	9	1298166.0	1286559.0	1396567.0	2139912.0	1930621.0	2043269.0	1520241.0	1457780.0	1469632.0	31003.0	19293.0	8	1241295.0	1241915.0	1331883.0	2055035.0	1824492.0	1952276.0	1502102.0	1428926.0	1404439.0	32578.0	25089.0	9	1181448.0	1143468.0	1241600.0	1942358.0	1723630.0	1814260.0	1371627.0	1301890.0	1284324.0	23732.0	19220.0	1263049.3939393938	1326640.2727272727	1276366.3636363635	1186141.5454545454	1346102.2990180177	1360641.1885897869	1404143.361127671	1834967.5247586642	1830851.44839301	1855974.337327298	1505711.7260731312	1514916.4029121052	1495144.1301940246	30391.754234120188	18912.625050442886	1572050.268710412	1321085.4067195843	1344371.4635661866	1370672.5844511383	1820106.9809724453	1789874.1294119714	1829740.7031902575	1520522.5923531542	1514951.698937467	1463114.6868369018	32791.244068536944	25253.223722620278	1552715.5829376783	1264470.0053180961	1244177.2674642887	1284945.7815513415	1734017.8351122558	1705996.51391346	1713672.2900252996	1401705.251302066	1390351.4164320263	1346597.8612741928	24059.428231929407	19485.17658089007	1453992.691377003	1525364.1018210193	0.9703023702112971	0.9823847448835987	1.0490864987611623	1306126.2512840587	1320233.3702957868	1362443.6314186365	1780473.3385340888	1776479.499880524	1800856.2985600187	1460995.6566637026	1469926.976417588	1450741.8933347703	29489.19116824604	18350.964913362284	1297814.150249664	1320690.0172642586	1346527.8371949743	1788045.332163473	1758345.039996133	1797509.3539066976	1493738.1989786015	1488265.438271658	1437341.5483637163	32213.617938685486	24808.381744234764	1326538.4106676697	1305249.573362341	1348019.271065622	1819134.699427327	1789737.9096802203	1797790.4627666648	1470510.0543836197	1458598.8995122972	1412697.6355234124	25240.421326030282	20441.63567698896
