Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides MS3	Razor + unique peptides MS3	Unique peptides MS3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity corrected 0 MS3	Reporter intensity corrected 1 MS3	Reporter intensity corrected 2 MS3	Reporter intensity corrected 3 MS3	Reporter intensity corrected 4 MS3	Reporter intensity corrected 5 MS3	Reporter intensity corrected 6 MS3	Reporter intensity corrected 7 MS3	Reporter intensity corrected 8 MS3	Reporter intensity corrected 9 MS3	Reporter intensity 0 MS3	Reporter intensity 1 MS3	Reporter intensity 2 MS3	Reporter intensity 3 MS3	Reporter intensity 4 MS3	Reporter intensity 5 MS3	Reporter intensity 6 MS3	Reporter intensity 7 MS3	Reporter intensity 8 MS3	Reporter intensity 9 MS3	Reporter intensity count 0 MS3	Reporter intensity count 1 MS3	Reporter intensity count 2 MS3	Reporter intensity count 3 MS3	Reporter intensity count 4 MS3	Reporter intensity count 5 MS3	Reporter intensity count 6 MS3	Reporter intensity count 7 MS3	Reporter intensity count 8 MS3	Reporter intensity count 9 MS3	Sequence coverage MS3 [%]	Intensity	Intensity MS3	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	CON__P01030;CON__ENSEMBL:ENSBTAP00000007350	2;2	2;2	2;2			;	2	2	2	2	2	2	2	0.9	0.9	0.9	192.79	1741	1741;1742	0	2.9387	627.98	501.93	2493	7268.2	1769.5	2171.3	5673	778.96	7277.8	7112.9	601.22	512.71	2401.6	6967.9	1895.1	2399.8	5631.1	1049.6	7112.9	6715.7	2	2	2	2	2	2	2	2	2	2	627.98	501.93	2493	7268.2	1769.5	2171.3	5673	778.96	7277.8	7112.9	601.22	512.71	2401.6	6967.9	1895.1	2399.8	5631.1	1049.6	7112.9	6715.7	2	2	2	2	2	2	2	2	2	2	0.9	20422000	20422000	2			+	0	2086;16925	True;True	2341;19004	3579;27372	4125;31050	4125;31050		
CON__ENSEMBL:ENSBTAP00000031360	CON__ENSEMBL:ENSBTAP00000031360	4	4	4				1	4	4	4	4	4	4	19.3	19.3	19.3	54.678	491	491	0	12.955	924.27	542.13	2798.5	8210.1	1904.5	2134.6	5867.9	267.19	7494.1	8897.5	881.62	543.56	2706.7	7864.2	2043.1	2403.7	5827.2	584.92	7325.5	8387.8	3	2	3	3	3	3	3	2	3	4	924.27	542.13	2798.5	8210.1	1904.5	2134.6	5867.9	267.19	7494.1	8897.5	881.62	543.56	2706.7	7864.2	2043.1	2403.7	5827.2	584.92	7325.5	8387.8	3	2	3	3	3	3	3	2	3	4	19.3	34081000	34081000	4			+	1	3211;4100;5800;6679	True;True;True;True	3582;4556;6454;7437	5392;6836;9508;10928	6165;7826;10859;12478	6165;7826;10859;12478		
CON__ENSEMBL:ENSBTAP00000038329	CON__ENSEMBL:ENSBTAP00000038329	1	1	1				1	1	1	1	1	1	1	15	15	15	8.5787	80	80	0	4.6659	554.13	85.096	2536.1	7319.6	1262.7	1908.9	5091.9	200.72	6411.3	6594.4	531.78	121.61	2431.4	6987	1412	2145.9	5035.4	466.23	6270.1	6214	1	1	1	1	1	1	1	1	1	1	554.13	85.096	2536.1	7319.6	1262.7	1908.9	5091.9	200.72	6411.3	6594.4	531.78	121.61	2431.4	6987	1412	2145.9	5035.4	466.23	6270.1	6214	1	1	1	1	1	1	1	1	1	1	15	23297000	23297000	1			+	2	10090	True	11179	16136	18404	18404		
CON__P00761	CON__P00761	7	7	7				1	7	7	7	7	7	7	42	42	42	24.409	231	231	0	80.483	112330	82913	84947	105730	116560	112960	116700	110870	115450	116090	106190	78453	87494	107290	116420	113070	118750	114790	113960	111880	35	34	35	37	35	34	35	35	35	34	112330	82913	84947	105730	116560	112960	116700	110870	115450	116090	106190	78453	87494	107290	116420	113070	118750	114790	113960	111880	35	34	35	37	35	34	35	35	35	34	42	39783000000	39783000000	40			+	3	1481;7861;9419;10378;14411;15926;15953	True;True;True;True;True;True;True	1669;8757;8758;10431;11486;16197;17887;17915	2535;12830;12831;12832;15123;15124;15125;15126;15127;15128;15129;15130;16525;16526;16527;16528;16529;23357;25783;25784;25785;25786;25787;25788;25789;25790;25791;25792;25825	2922;14715;14716;14717;14718;17246;17247;17248;17249;17250;17251;17252;17253;17254;17255;17256;17257;17258;17259;18836;18837;18838;18839;18840;26573;29296;29297;29298;29299;29300;29301;29302;29303;29304;29305;29306;29307;29308;29309;29345	2922;14715;17247;18840;26573;29305;29345	0	94
CON__P02533;CON__P08727;CON__P19001;CON__Q99456;CON__Q8N1A0;CON__P35900;CON__Q9D312;CON__Q7Z3Y9	CON__P02533	16;5;5;2;1;1;1;1	13;3;3;0;1;1;1;0	2;0;0;0;0;0;0;0				8	16	13	2	16	13	2	32	28.2	4.7	51.621	472	472;400;403;494;295;424;431;468	0	70.131	54581	81358	39721	68170	79824	61978	52334	58160	69500	90503	51592	76781	41291	70700	78265	62523	55062	61213	67848	86566	15	15	15	15	15	15	15	15	15	15	54581	81358	39721	68170	79824	61978	52334	58160	69500	90503	51592	76781	41291	70700	78265	62523	55062	61213	67848	86566	15	15	15	15	15	15	15	15	15	15	32	485000000	485000000	15			+	4	1074;1468;1663;2273;3361;3658;4629;6579;8984;8985;9273;11580;12495;12952;16513;17097	True;True;True;True;True;True;True;True;False;False;True;True;True;True;True;False	1193;1656;1868;2543;3751;4075;5151;7328;9969;9970;10277;13065;14077;14078;14584;18535;19192;19193	1821;1822;2512;2817;3884;5656;6118;7682;10765;14502;14503;14504;14919;18984;20397;20398;21084;26705;27618;27619;27620	2089;2090;2898;3237;4469;6469;6991;8787;12296;16559;16560;16561;17016;21647;23239;23240;24002;30326;31320;31321;31322	2089;2898;3237;4469;6469;6991;8787;12296;16560;16561;17016;21647;23239;24002;30326;31320	1;2;3	14;119;257
CON__P48668;CON__P04259;CON__P02538;CON__P05787;CON__H-INV:HIT000292931	CON__P48668;CON__P04259;CON__P02538	16;16;16;7;4	5;5;5;1;1	2;2;2;0;0			;;	5	16	5	2	16	5	2	22.3	9	3.7	60.024	564	564;564;564;483;443	0	18.235	11344	19584	5217.5	10633	13356	9461.8	8796.7	8491.6	16356	16751	10711	18449	5697	11445	13016	9555.7	9380.3	9060	15818	15969	6	6	6	6	6	6	6	6	6	6	11344	19584	5217.5	10633	13356	9461.8	8796.7	8491.6	16356	16751	10711	18449	5697	11445	13016	9555.7	9380.3	9060	15818	15969	6	6	6	6	6	6	6	6	6	6	22.3	89378000	89378000	6			+	5	388;1601;4776;4841;4842;5151;8648;9231;11667;11683;12668;14184;14643;17493;17646;17647	True;False;True;False;False;False;False;True;False;False;False;True;True;False;False;False	432;1802;5314;5383;5384;5726;9612;10234;13160;13176;14266;15932;16457;19630;19803;19804	688;2721;7909;8009;8010;8011;8484;14032;14863;19124;19148;19149;20660;22962;22963;23770;28209;28210;28211;28476;28477	802;3132;9054;9170;9171;9172;9716;16049;16955;21804;21805;21829;21830;21831;23528;26139;26140;27055;32014;32015;32016;32017;32018;32333;32334	802;3132;9054;9170;9172;9716;16049;16955;21805;21831;23528;26139;27055;32018;32333;32334		
CON__P02662	CON__P02662	5	5	5				1	5	5	5	5	5	5	26.1	26.1	26.1	22.975	199	199	0	11.976	17281	8320.7	5412	99131	78994	10177	92546	15267	7257.9	19392	16308	8371.1	7046.2	94813	75930	14271	91217	15701	10726	18613	4	4	4	5	5	5	5	5	4	5	17281	8320.7	5412	99131	78994	10177	92546	15267	7257.9	19392	16308	8371.1	7046.2	94813	75930	14271	91217	15701	10726	18613	4	4	4	5	5	5	5	5	4	5	26.1	203790000	203790000	5			+	6	3625;3813;4980;7197;17862	True;True;True;True;True	4040;4247;5535;8012;20045	6072;6385;8226;11741;28819	6937;7304;9418;13460;32725	6937;7304;9418;13460;32725		
CON__P02663	CON__P02663	1	1	1				1	1	1	1	1	1	1	3.9	3.9	3.9	24.348	207	207	0.0073421	2.0064	2539.3	377.45	226.92	18879	10520	859.75	14400	2584.7	739.28	2495.9	2394.1	461.98	494.77	17966	10110	1692.4	14097	2601	1308.8	2410	1	1	1	1	1	1	1	1	1	1	2539.3	377.45	226.92	18879	10520	859.75	14400	2584.7	739.28	2495.9	2394.1	461.98	494.77	17966	10110	1692.4	14097	2601	1308.8	2410	1	1	1	1	1	1	1	1	1	1	3.9	66158000	66158000	1			+	7	4827	True	5369	7985	9143	9143		
CON__P02666	CON__P02666	2	2	2				1	2	2	2	2	2	2	6.7	6.7	6.7	23.583	209	209	0.0059026	2.1042	6124.7	5739.8	1858.1	24644	20394	3438.4	22698	9009.1	2268.4	9834.2	5779.6	5529.9	2347.5	23809	19615	4481.4	22435	9117.3	3104.7	9468.6	2	2	2	2	2	2	2	2	2	2	6124.7	5739.8	1858.1	24644	20394	3438.4	22698	9009.1	2268.4	9834.2	5779.6	5529.9	2347.5	23809	19615	4481.4	22435	9117.3	3104.7	9468.6	2	2	2	2	2	2	2	2	2	2	6.7	140720000	140720000	2			+	8	1940;16619	True;True	2188;18653	3340;26868	3851;30498	3851;30498		
CON__P02754	CON__P02754	1	1	1				1	1	1	1	1	1	1	6.8	6.8	6.8	18.281	162	162	0	3.322	254.81	449.33	268.6	4076.2	516.92	779	561.26	769.84	447.4	1158.5	241.17	445.13	272.8	3911	510.43	930.07	566.07	807.47	446.28	1108.7	1	1	1	1	1	1	1	1	1	1	254.81	449.33	268.6	4076.2	516.92	779	561.26	769.84	447.4	1158.5	241.17	445.13	272.8	3911	510.43	930.07	566.07	807.47	446.28	1108.7	1	1	1	1	1	1	1	1	1	1	6.8	6222700	6222700	1			+	9	15418	True	17332	25015	28448	28448		
