Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides KUR1502	Razor + unique peptides KUR1502	Unique peptides KUR1502	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Reporter intensity corrected 0	Reporter intensity corrected 1	Reporter intensity corrected 2	Reporter intensity corrected 3	Reporter intensity corrected 4	Reporter intensity corrected 5	Reporter intensity corrected 6	Reporter intensity corrected 7	Reporter intensity corrected 8	Reporter intensity corrected 9	Reporter intensity 0	Reporter intensity 1	Reporter intensity 2	Reporter intensity 3	Reporter intensity 4	Reporter intensity 5	Reporter intensity 6	Reporter intensity 7	Reporter intensity 8	Reporter intensity 9	Reporter intensity count 0	Reporter intensity count 1	Reporter intensity count 2	Reporter intensity count 3	Reporter intensity count 4	Reporter intensity count 5	Reporter intensity count 6	Reporter intensity count 7	Reporter intensity count 8	Reporter intensity count 9	Reporter intensity corrected 0 KUR1502	Reporter intensity corrected 1 KUR1502	Reporter intensity corrected 2 KUR1502	Reporter intensity corrected 3 KUR1502	Reporter intensity corrected 4 KUR1502	Reporter intensity corrected 5 KUR1502	Reporter intensity corrected 6 KUR1502	Reporter intensity corrected 7 KUR1502	Reporter intensity corrected 8 KUR1502	Reporter intensity corrected 9 KUR1502	Reporter intensity 0 KUR1502	Reporter intensity 1 KUR1502	Reporter intensity 2 KUR1502	Reporter intensity 3 KUR1502	Reporter intensity 4 KUR1502	Reporter intensity 5 KUR1502	Reporter intensity 6 KUR1502	Reporter intensity 7 KUR1502	Reporter intensity 8 KUR1502	Reporter intensity 9 KUR1502	Reporter intensity count 0 KUR1502	Reporter intensity count 1 KUR1502	Reporter intensity count 2 KUR1502	Reporter intensity count 3 KUR1502	Reporter intensity count 4 KUR1502	Reporter intensity count 5 KUR1502	Reporter intensity count 6 KUR1502	Reporter intensity count 7 KUR1502	Reporter intensity count 8 KUR1502	Reporter intensity count 9 KUR1502	Sequence coverage KUR1502 [%]	Intensity	Intensity KUR1502	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
A0A0B4J1G0	A0A0B4J1G0	3	3	3		Fcgr4		1	3	3	3	3	3	3	13.7	13.7	13.7	28.398	249	249	0	17.051	2302.1	39.166	6130.5	0	5031	2587.6	9560.5	18.617	11451	2780.7	2192.7	36.776	5948	0	5236.2	2451.2	9566	100.77	11218	2618.8	3	1	3	0	3	3	3	1	3	3	2302.1	39.166	6130.5	0	5031	2587.6	9560.5	18.617	11451	2780.7	2192.7	36.776	5948	0	5236.2	2451.2	9566	100.77	11218	2618.8	3	1	3	0	3	3	3	1	3	3	13.7	49182000	49182000	3				0	29957;31574;32089	True;True;True	31974;33709;34254	46058;48587;49362	49366;52045;52860	49366;52045;52860		
A1L314	A1L314	10	10	10	Macrophage-expressed gene 1 protein	Mpeg1		1	10	10	10	10	10	10	19.6	19.6	19.6	78.39	713	713	0	145.35	17001	270.27	38478	0	28910	20562	66453	37.727	79174	21431	16166	253.77	37464	0	30435	19475	66189	121.58	77581	20181	18	3	21	0	20	19	21	1	21	21	17001	270.27	38478	0	28910	20562	66453	37.727	79174	21431	16166	253.77	37464	0	30435	19475	66189	121.58	77581	20181	18	3	21	0	20	19	21	1	21	21	19.6	1766000000	1766000000	22				1	1035;1725;3598;15085;16836;21230;28326;28397;29332;30278	True;True;True;True;True;True;True;True;True;True	1038;1766;3741;16034;17892;22632;30223;30302;31307;32318;32319	1469;1470;1471;1472;2592;5512;5513;23316;25857;32550;32551;43406;43407;43544;43545;43546;45064;45065;46542;46543;46544;46545	1604;1605;1606;1607;2818;5974;5975;25123;27815;34839;34840;46519;46520;46673;46674;46675;48296;48297;49872;49873;49874;49875	1605;2818;5974;25123;27815;34840;46519;46675;48296;49873	0	63
A2A432	A2A432	7	7	5	Cullin-4B	Cul4b		1	7	7	5	7	7	5	9.8	9.8	7.8	110.7	970	970	0	36.424	5257.4	0	2124.6	0	1658.6	6907.3	2314.8	0	3121.1	4381	4963.1	0	2281.3	0	1715.2	6536.9	2335.3	0	3045.4	4125.3	7	0	6	0	5	8	5	0	8	8	5257.4	0	2124.6	0	1658.6	6907.3	2314.8	0	3121.1	4381	4963.1	0	2281.3	0	1715.2	6536.9	2335.3	0	3045.4	4125.3	7	0	6	0	5	8	5	0	8	8	9.8	33938000	33938000	8				2	5589;6275;8811;18147;25009;26110;27740	True;True;True;True;True;True;True	5867;6592;9288;19284;26671;27836;29579	8633;8634;9715;13542;27831;38180;39866;42467	9331;9332;10487;14611;29897;40919;42728;45530	9331;10487;14611;29897;40919;42728;45530		
A2A4P0	A2A4P0	2	1	1	ATP-dependent RNA helicase DHX8	Dhx8		1	2	1	1	2	1	1	2.1	1.4	1.4	142.57	1244	1244	0.0033299	5.0402	238.73	0	78.857	0	88.628	750.22	369.02	0	91.778	509.65	225.3	0	89.244	0	93.066	710.05	354.58	0	102.32	479.9	1	0	1	0	1	1	1	0	1	1	238.73	0	78.857	0	88.628	750.22	369.02	0	91.778	509.65	225.3	0	89.244	0	93.066	710.05	354.58	0	102.32	479.9	1	0	1	0	1	1	1	0	1	1	2.1	10126000	10126000	1				3	27212;32567	True;False	29019;34775	41609;50123	44610;53666	44610;53666		
A2A5R2	A2A5R2	12	7	7	Brefeldin A-inhibited guanine nucleotide-exchange protein 2	Arfgef2		1	12	7	7	12	7	7	8.6	5.8	5.8	202.24	1792	1792	0	37.915	9155.5	0	14270	0	11965	12530	11519	0	14289	9730.4	8682.4	0	14046	0	12271	11858	11821	304.11	13981	9156.5	5	0	6	0	5	6	5	0	6	5	9155.5	0	14270	0	11965	12530	11519	0	14289	9730.4	8682.4	0	14046	0	12271	11858	11821	304.11	13981	9156.5	5	0	6	0	5	6	5	0	6	5	8.6	77901000	77901000	7				4	3431;3899;6901;12689;17138;21200;23364;23675;24795;24864;26822;31177	False;False;True;True;True;False;True;False;True;True;False;True	3570;4062;7251;13434;18207;22599;24944;25269;26445;26519;28603;33291	5261;5968;10620;19523;26305;32502;35815;36284;37873;37974;40979;47987	5706;6459;11451;21056;28283;34790;38374;38886;40593;40703;43955;51399	5706;6459;11451;21056;28283;34790;38374;38886;40593;40703;43955;51399	1	558
Q80Y50;A2A891	Q80Y50;A2A891	1;1	1;1	1;1	Calmodulin-binding transcription activator 2;Calmodulin-binding transcription activator 1	Camta2;Camta1	;	2	1	1	1	1	1	1	1.2	1.2	1.2	132.01	1208	1208;1682	1	-2	0	0	2259.3	0	1762.4	0	707.43	0	851.14	0	0	0	2137	0	1803.1	0	774.7	0	833.72	0	0	0	1	0	1	0	1	0	1	0	0	0	2259.3	0	1762.4	0	707.43	0	851.14	0	0	0	2137	0	1803.1	0	774.7	0	833.72	0	0	0	1	0	1	0	1	0	1	0	1.2	0	0	1	+			5	15493	True	16479	23916	25755	25755	2	1107
A2A8L1	A2A8L1	13	1	1	Chromodomain-helicase-DNA-binding protein 5	Chd5		1	13	1	1	13	1	1	7.7	0.5	0.5	222.51	1946	1946	1	-2	5702.9	0	3421.3	0	3054.1	7230.9	4144.4	57.958	5041.9	4928	5387.8	0	3573.8	57.544	3137.2	6841.7	4190.9	484.59	4936.8	4641.7	1	0	1	0	1	1	1	1	1	1	5702.9	0	3421.3	0	3054.1	7230.9	4144.4	57.958	5041.9	4928	5387.8	0	3573.8	57.544	3137.2	6841.7	4190.9	484.59	4936.8	4641.7	1	0	1	0	1	1	1	1	1	1	7.7	0	0	1	+			6	890;3161;7587;9474;9807;12678;17562;17945;22351;22394;29560;30055;31667	False;False;False;False;False;False;False;True;False;False;False;False;False	884;3273;7988;10005;10362;13423;18651;19061;23861;23905;31550;32079;32080;33808	1243;4840;11673;14524;15025;15026;19510;19511;26936;27509;34316;34372;45418;45419;46205;46206;46207;48720	1354;5255;12582;15649;16185;16186;21043;21044;28960;29561;36735;36793;48675;48676;49521;49522;49523;52184	1354;5255;12582;15649;16185;21043;28960;29561;36735;36793;48675;49522;52184	3;4;5	729;1029;1051
A2A8Z1	A2A8Z1	5	5	5	Oxysterol-binding protein-related protein 9	Osbpl9		1	5	5	5	5	5	5	8.4	8.4	8.4	83.108	736	736	0	25.408	4411.3	301.7	3212.4	0	2643.3	4493.2	2644.6	40.614	4109.3	4778.9	4169.7	283.29	3296.6	0	2717.5	4256.1	2732	185.15	3992.5	4500.2	5	1	5	0	5	5	5	1	5	5	4411.3	301.7	3212.4	0	2643.3	4493.2	2644.6	40.614	4109.3	4778.9	4169.7	283.29	3296.6	0	2717.5	4256.1	2732	185.15	3992.5	4500.2	5	1	5	0	5	5	5	1	5	5	8.4	43222000	43222000	5				7	2438;14621;16653;31785;31870	True;True;True;True;True	2529;15544;17696;33930;34018	3733;22594;25567;48885;49043	4064;24350;27505;52353;52524	4064;24350;27505;52353;52524		
A2AAY5;O89032	A2AAY5;O89032	4;2	4;2	4;2	SH3 and PX domain-containing protein 2B;SH3 and PX domain-containing protein 2A	Sh3pxd2b;Sh3pxd2a	;	2	4	4	4	4	4	4	4.7	4.7	4.7	101.52	908	908;1124	0	16.701	3609.4	172.6	4088.9	0	2716.9	4502.5	3667.5	0	5033	4285.2	3417.2	162.06	4074.7	0	2852.9	4262.8	3725	65.591	4908.1	4033.3	4	3	4	0	4	4	4	0	4	4	3609.4	172.6	4088.9	0	2716.9	4502.5	3667.5	0	5033	4285.2	3417.2	162.06	4074.7	0	2852.9	4262.8	3725	65.591	4908.1	4033.3	4	3	4	0	4	4	4	0	4	4	4.7	33893000	33893000	4				8	6742;10299;13831;27000	True;True;True;True	7082;10884;14670;28793	10379;15807;21330;41275	11186;17038;23030;44266	11186;17038;23030;44266		
A2AB59	A2AB59	2	2	2	Rho GTPase-activating protein 27	Arhgap27		1	2	2	2	2	2	2	2.2	2.2	2.2	97.047	869	869	0.00050365	9.8815	1222.2	98.929	702.16	0	708.98	1309.1	994.83	0	1182	1310.4	1154.6	92.891	737.55	0	723.29	1239.8	1004.1	0	1158.4	1233.9	2	1	2	0	2	2	2	0	2	2	1222.2	98.929	702.16	0	708.98	1309.1	994.83	0	1182	1310.4	1154.6	92.891	737.55	0	723.29	1239.8	1004.1	0	1158.4	1233.9	2	1	2	0	2	2	2	0	2	2	2.2	17889000	17889000	2				9	17658;18769	True;True	18749;19938	27062;28695	29088;30802	29088;30802		
